ID,Publish Date,Title,Author ID,Comment Count,Primary Tickers,Secondary Tickers,Image URL
4155043,2024-10-01T11:05:07-04:00,Watch these stocks as union pushes pick up,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/174626837/image_174626837.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4150144,2024-09-16T17:11:56-04:00,Hasbro looking to move to Boston,59695326,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458126109/image_458126109.jpg
4150021,2024-09-16T11:32:33-04:00,Hasbro heads into the holiday season on a hot streak,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157821551/image_2157821551.jpg
4148428,2024-09-10T13:07:54-04:00,"Hasbro expresses confidence in digital business, holiday season during conference presentation",954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1128321204/image_1128321204.jpg
4140974,2024-08-16T08:11:55-04:00,"Dividend Roundup: Walmart, Home Depot, Chevron, Hasbro, and more",53367831,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593766/image_1072593766.jpg
4138670,2024-08-12T11:34:15-04:00,"Roth MKM says Small-Cap Value reaches key technical support, lists 14 ""bullish"" stocks",60268795,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2037006388/image_2037006388.jpg
4204316,2024-10-25T08:36:45-04:00,Hasbro declares $0.70 dividend,54603272,0,tag,,
4199962,2024-10-24T10:04:07-04:00,"Hasbro's profits intact on cost-cutting, but sales guidance sees further erosion",59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/493738122/image_493738122.jpg
4198662,2024-10-24T06:32:52-04:00,"Hasbro Non-GAAP EPS of $1.73 beats by $0.44, revenue of $1.28B misses by $20M",54931997,2,tag,,
4196322,2024-10-23T12:23:04-04:00,Hasbro Q3 2024 Earnings Preview,49282475,0,tag,,
4175834,2024-10-19T09:30:00-04:00,Over 60% of companies that reported earnings this week beat EPS and revenue estimates - Earnings Scorecard,60812553,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1795167728/image_1795167728.jpg
4156254,2024-10-03T16:29:25-04:00,"East Coast port strike could be over by Monday, analyst says",59695326,15,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4155970,2024-10-03T09:54:10-04:00,10 dividend stocks for stability and safety,53367831,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4155043,2024-10-01T11:05:07-04:00,Watch these stocks as union pushes pick up,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/174626837/image_174626837.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4150144,2024-09-16T17:11:56-04:00,Hasbro looking to move to Boston,59695326,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458126109/image_458126109.jpg
4150021,2024-09-16T11:32:33-04:00,Hasbro heads into the holiday season on a hot streak,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157821551/image_2157821551.jpg
4148428,2024-09-10T13:07:54-04:00,"Hasbro expresses confidence in digital business, holiday season during conference presentation",954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1128321204/image_1128321204.jpg
4140974,2024-08-16T08:11:55-04:00,"Dividend Roundup: Walmart, Home Depot, Chevron, Hasbro, and more",53367831,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593766/image_1072593766.jpg
4138670,2024-08-12T11:34:15-04:00,"Roth MKM says Small-Cap Value reaches key technical support, lists 14 ""bullish"" stocks",60268795,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2037006388/image_2037006388.jpg
4204316,2024-10-25T08:36:45-04:00,Hasbro declares $0.70 dividend,54603272,0,tag,,
4199962,2024-10-24T10:04:07-04:00,"Hasbro's profits intact on cost-cutting, but sales guidance sees further erosion",59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/493738122/image_493738122.jpg
4198662,2024-10-24T06:32:52-04:00,"Hasbro Non-GAAP EPS of $1.73 beats by $0.44, revenue of $1.28B misses by $20M",54931997,2,tag,,
4196322,2024-10-23T12:23:04-04:00,Hasbro Q3 2024 Earnings Preview,49282475,0,tag,,
4175834,2024-10-19T09:30:00-04:00,Over 60% of companies that reported earnings this week beat EPS and revenue estimates - Earnings Scorecard,60812553,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1795167728/image_1795167728.jpg
4156254,2024-10-03T16:29:25-04:00,"East Coast port strike could be over by Monday, analyst says",59695326,15,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4155970,2024-10-03T09:54:10-04:00,10 dividend stocks for stability and safety,53367831,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4155043,2024-10-01T11:05:07-04:00,Watch these stocks as union pushes pick up,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/174626837/image_174626837.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4150144,2024-09-16T17:11:56-04:00,Hasbro looking to move to Boston,59695326,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458126109/image_458126109.jpg
4150021,2024-09-16T11:32:33-04:00,Hasbro heads into the holiday season on a hot streak,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157821551/image_2157821551.jpg
4148428,2024-09-10T13:07:54-04:00,"Hasbro expresses confidence in digital business, holiday season during conference presentation",954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1128321204/image_1128321204.jpg
4140974,2024-08-16T08:11:55-04:00,"Dividend Roundup: Walmart, Home Depot, Chevron, Hasbro, and more",53367831,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593766/image_1072593766.jpg
4138670,2024-08-12T11:34:15-04:00,"Roth MKM says Small-Cap Value reaches key technical support, lists 14 ""bullish"" stocks",60268795,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2037006388/image_2037006388.jpg
4204316,2024-10-25T08:36:45-04:00,Hasbro declares $0.70 dividend,54603272,0,tag,,
4199962,2024-10-24T10:04:07-04:00,"Hasbro's profits intact on cost-cutting, but sales guidance sees further erosion",59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/493738122/image_493738122.jpg
4198662,2024-10-24T06:32:52-04:00,"Hasbro Non-GAAP EPS of $1.73 beats by $0.44, revenue of $1.28B misses by $20M",54931997,2,tag,,
4196322,2024-10-23T12:23:04-04:00,Hasbro Q3 2024 Earnings Preview,49282475,0,tag,,
4175834,2024-10-19T09:30:00-04:00,Over 60% of companies that reported earnings this week beat EPS and revenue estimates - Earnings Scorecard,60812553,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1795167728/image_1795167728.jpg
4156254,2024-10-03T16:29:25-04:00,"East Coast port strike could be over by Monday, analyst says",59695326,15,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4155970,2024-10-03T09:54:10-04:00,10 dividend stocks for stability and safety,53367831,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4155043,2024-10-01T11:05:07-04:00,Watch these stocks as union pushes pick up,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/174626837/image_174626837.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4150144,2024-09-16T17:11:56-04:00,Hasbro looking to move to Boston,59695326,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458126109/image_458126109.jpg
4150021,2024-09-16T11:32:33-04:00,Hasbro heads into the holiday season on a hot streak,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157821551/image_2157821551.jpg
4148428,2024-09-10T13:07:54-04:00,"Hasbro expresses confidence in digital business, holiday season during conference presentation",954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1128321204/image_1128321204.jpg
4140974,2024-08-16T08:11:55-04:00,"Dividend Roundup: Walmart, Home Depot, Chevron, Hasbro, and more",53367831,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593766/image_1072593766.jpg
4138670,2024-08-12T11:34:15-04:00,"Roth MKM says Small-Cap Value reaches key technical support, lists 14 ""bullish"" stocks",60268795,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2037006388/image_2037006388.jpg
4199962,2024-10-24T10:04:07-04:00,"Hasbro's profits intact on cost-cutting, but sales guidance sees further erosion",59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/493738122/image_493738122.jpg
4198662,2024-10-24T06:32:52-04:00,"Hasbro Non-GAAP EPS of $1.73 beats by $0.44, revenue of $1.28B misses by $20M",54931997,2,tag,,
4196322,2024-10-23T12:23:04-04:00,Hasbro Q3 2024 Earnings Preview,49282475,0,tag,,
4175834,2024-10-19T09:30:00-04:00,Over 60% of companies that reported earnings this week beat EPS and revenue estimates - Earnings Scorecard,60812553,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1795167728/image_1795167728.jpg
4156254,2024-10-03T16:29:25-04:00,"East Coast port strike could be over by Monday, analyst says",59695326,15,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4155970,2024-10-03T09:54:10-04:00,10 dividend stocks for stability and safety,53367831,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4155043,2024-10-01T11:05:07-04:00,Watch these stocks as union pushes pick up,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/174626837/image_174626837.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4150144,2024-09-16T17:11:56-04:00,Hasbro looking to move to Boston,59695326,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458126109/image_458126109.jpg
4150021,2024-09-16T11:32:33-04:00,Hasbro heads into the holiday season on a hot streak,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157821551/image_2157821551.jpg
4148428,2024-09-10T13:07:54-04:00,"Hasbro expresses confidence in digital business, holiday season during conference presentation",954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1128321204/image_1128321204.jpg
4140974,2024-08-16T08:11:55-04:00,"Dividend Roundup: Walmart, Home Depot, Chevron, Hasbro, and more",53367831,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593766/image_1072593766.jpg
4138670,2024-08-12T11:34:15-04:00,"Roth MKM says Small-Cap Value reaches key technical support, lists 14 ""bullish"" stocks",60268795,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2037006388/image_2037006388.jpg
4196322,2024-10-23T12:23:04-04:00,Hasbro Q3 2024 Earnings Preview,49282475,0,tag,,
4175834,2024-10-19T09:30:00-04:00,Over 60% of companies that reported earnings this week beat EPS and revenue estimates - Earnings Scorecard,60812553,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1795167728/image_1795167728.jpg
4156254,2024-10-03T16:29:25-04:00,"East Coast port strike could be over by Monday, analyst says",59695326,15,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4155970,2024-10-03T09:54:10-04:00,10 dividend stocks for stability and safety,53367831,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4155043,2024-10-01T11:05:07-04:00,Watch these stocks as union pushes pick up,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/174626837/image_174626837.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4150144,2024-09-16T17:11:56-04:00,Hasbro looking to move to Boston,59695326,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458126109/image_458126109.jpg
4150021,2024-09-16T11:32:33-04:00,Hasbro heads into the holiday season on a hot streak,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157821551/image_2157821551.jpg
4148428,2024-09-10T13:07:54-04:00,"Hasbro expresses confidence in digital business, holiday season during conference presentation",954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1128321204/image_1128321204.jpg
4140974,2024-08-16T08:11:55-04:00,"Dividend Roundup: Walmart, Home Depot, Chevron, Hasbro, and more",53367831,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593766/image_1072593766.jpg
4138670,2024-08-12T11:34:15-04:00,"Roth MKM says Small-Cap Value reaches key technical support, lists 14 ""bullish"" stocks",60268795,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2037006388/image_2037006388.jpg
4175834,2024-10-19T09:30:00-04:00,Over 60% of companies that reported earnings this week beat EPS and revenue estimates - Earnings Scorecard,60812553,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1795167728/image_1795167728.jpg
4156254,2024-10-03T16:29:25-04:00,"East Coast port strike could be over by Monday, analyst says",59695326,15,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4155970,2024-10-03T09:54:10-04:00,10 dividend stocks for stability and safety,53367831,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4155043,2024-10-01T11:05:07-04:00,Watch these stocks as union pushes pick up,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/174626837/image_174626837.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4150144,2024-09-16T17:11:56-04:00,Hasbro looking to move to Boston,59695326,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458126109/image_458126109.jpg
4150021,2024-09-16T11:32:33-04:00,Hasbro heads into the holiday season on a hot streak,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157821551/image_2157821551.jpg
4148428,2024-09-10T13:07:54-04:00,"Hasbro expresses confidence in digital business, holiday season during conference presentation",954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1128321204/image_1128321204.jpg
4140974,2024-08-16T08:11:55-04:00,"Dividend Roundup: Walmart, Home Depot, Chevron, Hasbro, and more",53367831,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593766/image_1072593766.jpg
4138670,2024-08-12T11:34:15-04:00,"Roth MKM says Small-Cap Value reaches key technical support, lists 14 ""bullish"" stocks",60268795,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2037006388/image_2037006388.jpg
4175834,2024-10-19T09:30:00-04:00,Over 60% of companies that reported earnings this week beat EPS and revenue estimates - Earnings Scorecard,60812553,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1795167728/image_1795167728.jpg
4156254,2024-10-03T16:29:25-04:00,"East Coast port strike could be over by Monday, analyst says",59695326,15,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4155970,2024-10-03T09:54:10-04:00,10 dividend stocks for stability and safety,53367831,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4155043,2024-10-01T11:05:07-04:00,Watch these stocks as union pushes pick up,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/174626837/image_174626837.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4150144,2024-09-16T17:11:56-04:00,Hasbro looking to move to Boston,59695326,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458126109/image_458126109.jpg
4150021,2024-09-16T11:32:33-04:00,Hasbro heads into the holiday season on a hot streak,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157821551/image_2157821551.jpg
4148428,2024-09-10T13:07:54-04:00,"Hasbro expresses confidence in digital business, holiday season during conference presentation",954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1128321204/image_1128321204.jpg
4140974,2024-08-16T08:11:55-04:00,"Dividend Roundup: Walmart, Home Depot, Chevron, Hasbro, and more",53367831,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593766/image_1072593766.jpg
4138670,2024-08-12T11:34:15-04:00,"Roth MKM says Small-Cap Value reaches key technical support, lists 14 ""bullish"" stocks",60268795,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2037006388/image_2037006388.jpg
4175834,2024-10-19T09:30:00-04:00,Over 60% of companies that reported earnings this week beat EPS and revenue estimates - Earnings Scorecard,60812553,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1795167728/image_1795167728.jpg
4156254,2024-10-03T16:29:25-04:00,"East Coast port strike could be over by Monday, analyst says",59695326,15,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4155970,2024-10-03T09:54:10-04:00,10 dividend stocks for stability and safety,53367831,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4155043,2024-10-01T11:05:07-04:00,Watch these stocks as union pushes pick up,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/174626837/image_174626837.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4150144,2024-09-16T17:11:56-04:00,Hasbro looking to move to Boston,59695326,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458126109/image_458126109.jpg
4150021,2024-09-16T11:32:33-04:00,Hasbro heads into the holiday season on a hot streak,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157821551/image_2157821551.jpg
4148428,2024-09-10T13:07:54-04:00,"Hasbro expresses confidence in digital business, holiday season during conference presentation",954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1128321204/image_1128321204.jpg
4140974,2024-08-16T08:11:55-04:00,"Dividend Roundup: Walmart, Home Depot, Chevron, Hasbro, and more",53367831,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593766/image_1072593766.jpg
4138670,2024-08-12T11:34:15-04:00,"Roth MKM says Small-Cap Value reaches key technical support, lists 14 ""bullish"" stocks",60268795,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2037006388/image_2037006388.jpg
4175834,2024-10-19T09:30:00-04:00,Over 60% of companies that reported earnings this week beat EPS and revenue estimates - Earnings Scorecard,60812553,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1795167728/image_1795167728.jpg
4156254,2024-10-03T16:29:25-04:00,"East Coast port strike could be over by Monday, analyst says",59695326,15,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4155970,2024-10-03T09:54:10-04:00,10 dividend stocks for stability and safety,53367831,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1445810122/image_1445810122.jpg
4155043,2024-10-01T11:05:07-04:00,Watch these stocks as union pushes pick up,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/174626837/image_174626837.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4150144,2024-09-16T17:11:56-04:00,Hasbro looking to move to Boston,59695326,13,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458126109/image_458126109.jpg
4150021,2024-09-16T11:32:33-04:00,Hasbro heads into the holiday season on a hot streak,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2157821551/image_2157821551.jpg
4148428,2024-09-10T13:07:54-04:00,"Hasbro expresses confidence in digital business, holiday season during conference presentation",954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1128321204/image_1128321204.jpg
4140974,2024-08-16T08:11:55-04:00,"Dividend Roundup: Walmart, Home Depot, Chevron, Hasbro, and more",53367831,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593766/image_1072593766.jpg
