ID,Publish Date,Title,Author ID,Comment Count,Primary Tickers,Secondary Tickers,Image URL
4175511,2024-10-18T11:35:50-04:00,UBS upgrades view on U.S. stocks to attractive - here are its top picks,60268795,23,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1400975494/image_1400975494.jpg
4149708,2024-09-13T16:06:21-04:00,Ralph Lauren declares $0.825 dividend,54931997,1,tag,,
4143533,2024-08-25T09:00:00-04:00,Softlines second half outlook moderately more bullish,59695326,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1141999456/image_1141999456.jpg
4142222,2024-08-21T07:23:02-04:00,Most shorted S&P 500 stocks in July,54434154,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1283900736/image_1283900736.jpg
4136042,2024-08-07T10:39:39-04:00,"Ralph Lauren benefits from international demand in Q1, posts results beat",57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1498740601/image_1498740601.jpg
4135850,2024-08-07T08:07:03-04:00,Ralph Lauren beats top-line and bottom-line estimates; initiates Q2 and reaffirms FY25 outlook,52365730,0,tag,,
4135172,2024-08-06T13:22:21-04:00,Ralph Lauren Q1 2025 Earnings Preview,54603272,0,tag,,
4175511,2024-10-18T11:35:50-04:00,UBS upgrades view on U.S. stocks to attractive - here are its top picks,60268795,23,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1400975494/image_1400975494.jpg
4149708,2024-09-13T16:06:21-04:00,Ralph Lauren declares $0.825 dividend,54931997,1,tag,,
4143533,2024-08-25T09:00:00-04:00,Softlines second half outlook moderately more bullish,59695326,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1141999456/image_1141999456.jpg
4142222,2024-08-21T07:23:02-04:00,Most shorted S&P 500 stocks in July,54434154,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1283900736/image_1283900736.jpg
4136042,2024-08-07T10:39:39-04:00,"Ralph Lauren benefits from international demand in Q1, posts results beat",57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1498740601/image_1498740601.jpg
4135850,2024-08-07T08:07:03-04:00,Ralph Lauren beats top-line and bottom-line estimates; initiates Q2 and reaffirms FY25 outlook,52365730,0,tag,,
4135172,2024-08-06T13:22:21-04:00,Ralph Lauren Q1 2025 Earnings Preview,54603272,0,tag,,
4175511,2024-10-18T11:35:50-04:00,UBS upgrades view on U.S. stocks to attractive - here are its top picks,60268795,23,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1400975494/image_1400975494.jpg
4149708,2024-09-13T16:06:21-04:00,Ralph Lauren declares $0.825 dividend,54931997,1,tag,,
4143533,2024-08-25T09:00:00-04:00,Softlines second half outlook moderately more bullish,59695326,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1141999456/image_1141999456.jpg
4142222,2024-08-21T07:23:02-04:00,Most shorted S&P 500 stocks in July,54434154,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1283900736/image_1283900736.jpg
4136042,2024-08-07T10:39:39-04:00,"Ralph Lauren benefits from international demand in Q1, posts results beat",57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1498740601/image_1498740601.jpg
4135850,2024-08-07T08:07:03-04:00,Ralph Lauren beats top-line and bottom-line estimates; initiates Q2 and reaffirms FY25 outlook,52365730,0,tag,,
4135172,2024-08-06T13:22:21-04:00,Ralph Lauren Q1 2025 Earnings Preview,54603272,0,tag,,
4175511,2024-10-18T11:35:50-04:00,UBS upgrades view on U.S. stocks to attractive - here are its top picks,60268795,23,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1400975494/image_1400975494.jpg
4149708,2024-09-13T16:06:21-04:00,Ralph Lauren declares $0.825 dividend,54931997,1,tag,,
4143533,2024-08-25T09:00:00-04:00,Softlines second half outlook moderately more bullish,59695326,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1141999456/image_1141999456.jpg
4142222,2024-08-21T07:23:02-04:00,Most shorted S&P 500 stocks in July,54434154,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1283900736/image_1283900736.jpg
4136042,2024-08-07T10:39:39-04:00,"Ralph Lauren benefits from international demand in Q1, posts results beat",57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1498740601/image_1498740601.jpg
4135850,2024-08-07T08:07:03-04:00,Ralph Lauren beats top-line and bottom-line estimates; initiates Q2 and reaffirms FY25 outlook,52365730,0,tag,,
4135172,2024-08-06T13:22:21-04:00,Ralph Lauren Q1 2025 Earnings Preview,54603272,0,tag,,
4175511,2024-10-18T11:35:50-04:00,UBS upgrades view on U.S. stocks to attractive - here are its top picks,60268795,23,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1400975494/image_1400975494.jpg
4149708,2024-09-13T16:06:21-04:00,Ralph Lauren declares $0.825 dividend,54931997,1,tag,,
4143533,2024-08-25T09:00:00-04:00,Softlines second half outlook moderately more bullish,59695326,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1141999456/image_1141999456.jpg
4142222,2024-08-21T07:23:02-04:00,Most shorted S&P 500 stocks in July,54434154,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1283900736/image_1283900736.jpg
4136042,2024-08-07T10:39:39-04:00,"Ralph Lauren benefits from international demand in Q1, posts results beat",57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1498740601/image_1498740601.jpg
4135850,2024-08-07T08:07:03-04:00,Ralph Lauren beats top-line and bottom-line estimates; initiates Q2 and reaffirms FY25 outlook,52365730,0,tag,,
4135172,2024-08-06T13:22:21-04:00,Ralph Lauren Q1 2025 Earnings Preview,54603272,0,tag,,
4175511,2024-10-18T11:35:50-04:00,UBS upgrades view on U.S. stocks to attractive - here are its top picks,60268795,23,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1400975494/image_1400975494.jpg
4149708,2024-09-13T16:06:21-04:00,Ralph Lauren declares $0.825 dividend,54931997,1,tag,,
4143533,2024-08-25T09:00:00-04:00,Softlines second half outlook moderately more bullish,59695326,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1141999456/image_1141999456.jpg
4142222,2024-08-21T07:23:02-04:00,Most shorted S&P 500 stocks in July,54434154,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1283900736/image_1283900736.jpg
4136042,2024-08-07T10:39:39-04:00,"Ralph Lauren benefits from international demand in Q1, posts results beat",57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1498740601/image_1498740601.jpg
4135850,2024-08-07T08:07:03-04:00,Ralph Lauren beats top-line and bottom-line estimates; initiates Q2 and reaffirms FY25 outlook,52365730,0,tag,,
4135172,2024-08-06T13:22:21-04:00,Ralph Lauren Q1 2025 Earnings Preview,54603272,0,tag,,
4149708,2024-09-13T16:06:21-04:00,Ralph Lauren declares $0.825 dividend,54931997,1,tag,,
4143533,2024-08-25T09:00:00-04:00,Softlines second half outlook moderately more bullish,59695326,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1141999456/image_1141999456.jpg
4142222,2024-08-21T07:23:02-04:00,Most shorted S&P 500 stocks in July,54434154,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1283900736/image_1283900736.jpg
4136042,2024-08-07T10:39:39-04:00,"Ralph Lauren benefits from international demand in Q1, posts results beat",57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1498740601/image_1498740601.jpg
4135850,2024-08-07T08:07:03-04:00,Ralph Lauren beats top-line and bottom-line estimates; initiates Q2 and reaffirms FY25 outlook,52365730,0,tag,,
4135172,2024-08-06T13:22:21-04:00,Ralph Lauren Q1 2025 Earnings Preview,54603272,0,tag,,
4149708,2024-09-13T16:06:21-04:00,Ralph Lauren declares $0.825 dividend,54931997,1,tag,,
4143533,2024-08-25T09:00:00-04:00,Softlines second half outlook moderately more bullish,59695326,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1141999456/image_1141999456.jpg
4142222,2024-08-21T07:23:02-04:00,Most shorted S&P 500 stocks in July,54434154,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1283900736/image_1283900736.jpg
4136042,2024-08-07T10:39:39-04:00,"Ralph Lauren benefits from international demand in Q1, posts results beat",57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1498740601/image_1498740601.jpg
4135850,2024-08-07T08:07:03-04:00,Ralph Lauren beats top-line and bottom-line estimates; initiates Q2 and reaffirms FY25 outlook,52365730,0,tag,,
4135172,2024-08-06T13:22:21-04:00,Ralph Lauren Q1 2025 Earnings Preview,54603272,0,tag,,
4149708,2024-09-13T16:06:21-04:00,Ralph Lauren declares $0.825 dividend,54931997,1,tag,,
4143533,2024-08-25T09:00:00-04:00,Softlines second half outlook moderately more bullish,59695326,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1141999456/image_1141999456.jpg
4142222,2024-08-21T07:23:02-04:00,Most shorted S&P 500 stocks in July,54434154,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1283900736/image_1283900736.jpg
4136042,2024-08-07T10:39:39-04:00,"Ralph Lauren benefits from international demand in Q1, posts results beat",57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1498740601/image_1498740601.jpg
4135850,2024-08-07T08:07:03-04:00,Ralph Lauren beats top-line and bottom-line estimates; initiates Q2 and reaffirms FY25 outlook,52365730,0,tag,,
4135172,2024-08-06T13:22:21-04:00,Ralph Lauren Q1 2025 Earnings Preview,54603272,0,tag,,
4149708,2024-09-13T16:06:21-04:00,Ralph Lauren declares $0.825 dividend,54931997,1,tag,,
4143533,2024-08-25T09:00:00-04:00,Softlines second half outlook moderately more bullish,59695326,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1141999456/image_1141999456.jpg
4142222,2024-08-21T07:23:02-04:00,Most shorted S&P 500 stocks in July,54434154,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1283900736/image_1283900736.jpg
4136042,2024-08-07T10:39:39-04:00,"Ralph Lauren benefits from international demand in Q1, posts results beat",57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1498740601/image_1498740601.jpg
4135850,2024-08-07T08:07:03-04:00,Ralph Lauren beats top-line and bottom-line estimates; initiates Q2 and reaffirms FY25 outlook,52365730,0,tag,,
4135172,2024-08-06T13:22:21-04:00,Ralph Lauren Q1 2025 Earnings Preview,54603272,0,tag,,
4149708,2024-09-13T16:06:21-04:00,Ralph Lauren declares $0.825 dividend,54931997,1,tag,,
4143533,2024-08-25T09:00:00-04:00,Softlines second half outlook moderately more bullish,59695326,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1141999456/image_1141999456.jpg
4142222,2024-08-21T07:23:02-04:00,Most shorted S&P 500 stocks in July,54434154,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1283900736/image_1283900736.jpg
4136042,2024-08-07T10:39:39-04:00,"Ralph Lauren benefits from international demand in Q1, posts results beat",57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1498740601/image_1498740601.jpg
4135850,2024-08-07T08:07:03-04:00,Ralph Lauren beats top-line and bottom-line estimates; initiates Q2 and reaffirms FY25 outlook,52365730,0,tag,,
4135172,2024-08-06T13:22:21-04:00,Ralph Lauren Q1 2025 Earnings Preview,54603272,0,tag,,
4149708,2024-09-13T16:06:21-04:00,Ralph Lauren declares $0.825 dividend,54931997,1,tag,,
4143533,2024-08-25T09:00:00-04:00,Softlines second half outlook moderately more bullish,59695326,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1141999456/image_1141999456.jpg
4142222,2024-08-21T07:23:02-04:00,Most shorted S&P 500 stocks in July,54434154,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1283900736/image_1283900736.jpg
4136042,2024-08-07T10:39:39-04:00,"Ralph Lauren benefits from international demand in Q1, posts results beat",57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1498740601/image_1498740601.jpg
4135850,2024-08-07T08:07:03-04:00,Ralph Lauren beats top-line and bottom-line estimates; initiates Q2 and reaffirms FY25 outlook,52365730,0,tag,,
4135172,2024-08-06T13:22:21-04:00,Ralph Lauren Q1 2025 Earnings Preview,54603272,0,tag,,
4149708,2024-09-13T16:06:21-04:00,Ralph Lauren declares $0.825 dividend,54931997,1,tag,,
4143533,2024-08-25T09:00:00-04:00,Softlines second half outlook moderately more bullish,59695326,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1141999456/image_1141999456.jpg
4142222,2024-08-21T07:23:02-04:00,Most shorted S&P 500 stocks in July,54434154,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1283900736/image_1283900736.jpg
4136042,2024-08-07T10:39:39-04:00,"Ralph Lauren benefits from international demand in Q1, posts results beat",57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1498740601/image_1498740601.jpg
4135850,2024-08-07T08:07:03-04:00,Ralph Lauren beats top-line and bottom-line estimates; initiates Q2 and reaffirms FY25 outlook,52365730,0,tag,,
4135172,2024-08-06T13:22:21-04:00,Ralph Lauren Q1 2025 Earnings Preview,54603272,0,tag,,
4149708,2024-09-13T16:06:21-04:00,Ralph Lauren declares $0.825 dividend,54931997,1,tag,,
4143533,2024-08-25T09:00:00-04:00,Softlines second half outlook moderately more bullish,59695326,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1141999456/image_1141999456.jpg
4142222,2024-08-21T07:23:02-04:00,Most shorted S&P 500 stocks in July,54434154,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1283900736/image_1283900736.jpg
4136042,2024-08-07T10:39:39-04:00,"Ralph Lauren benefits from international demand in Q1, posts results beat",57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1498740601/image_1498740601.jpg
4135850,2024-08-07T08:07:03-04:00,Ralph Lauren beats top-line and bottom-line estimates; initiates Q2 and reaffirms FY25 outlook,52365730,0,tag,,
4135172,2024-08-06T13:22:21-04:00,Ralph Lauren Q1 2025 Earnings Preview,54603272,0,tag,,
4149708,2024-09-13T16:06:21-04:00,Ralph Lauren declares $0.825 dividend,54931997,1,tag,,
4143533,2024-08-25T09:00:00-04:00,Softlines second half outlook moderately more bullish,59695326,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1141999456/image_1141999456.jpg
4142222,2024-08-21T07:23:02-04:00,Most shorted S&P 500 stocks in July,54434154,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1283900736/image_1283900736.jpg
4136042,2024-08-07T10:39:39-04:00,"Ralph Lauren benefits from international demand in Q1, posts results beat",57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1498740601/image_1498740601.jpg
4135850,2024-08-07T08:07:03-04:00,Ralph Lauren beats top-line and bottom-line estimates; initiates Q2 and reaffirms FY25 outlook,52365730,0,tag,,
4135172,2024-08-06T13:22:21-04:00,Ralph Lauren Q1 2025 Earnings Preview,54603272,0,tag,,
4149708,2024-09-13T16:06:21-04:00,Ralph Lauren declares $0.825 dividend,54931997,1,tag,,
4143533,2024-08-25T09:00:00-04:00,Softlines second half outlook moderately more bullish,59695326,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1141999456/image_1141999456.jpg
4142222,2024-08-21T07:23:02-04:00,Most shorted S&P 500 stocks in July,54434154,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1283900736/image_1283900736.jpg
4136042,2024-08-07T10:39:39-04:00,"Ralph Lauren benefits from international demand in Q1, posts results beat",57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1498740601/image_1498740601.jpg
4135850,2024-08-07T08:07:03-04:00,Ralph Lauren beats top-line and bottom-line estimates; initiates Q2 and reaffirms FY25 outlook,52365730,0,tag,,
4135172,2024-08-06T13:22:21-04:00,Ralph Lauren Q1 2025 Earnings Preview,54603272,0,tag,,
4149708,2024-09-13T16:06:21-04:00,Ralph Lauren declares $0.825 dividend,54931997,1,tag,,
4143533,2024-08-25T09:00:00-04:00,Softlines second half outlook moderately more bullish,59695326,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1141999456/image_1141999456.jpg
4142222,2024-08-21T07:23:02-04:00,Most shorted S&P 500 stocks in July,54434154,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1283900736/image_1283900736.jpg
4136042,2024-08-07T10:39:39-04:00,"Ralph Lauren benefits from international demand in Q1, posts results beat",57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1498740601/image_1498740601.jpg
4135850,2024-08-07T08:07:03-04:00,Ralph Lauren beats top-line and bottom-line estimates; initiates Q2 and reaffirms FY25 outlook,52365730,0,tag,,
4135172,2024-08-06T13:22:21-04:00,Ralph Lauren Q1 2025 Earnings Preview,54603272,0,tag,,
4149708,2024-09-13T16:06:21-04:00,Ralph Lauren declares $0.825 dividend,54931997,1,tag,,
4143533,2024-08-25T09:00:00-04:00,Softlines second half outlook moderately more bullish,59695326,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1141999456/image_1141999456.jpg
4142222,2024-08-21T07:23:02-04:00,Most shorted S&P 500 stocks in July,54434154,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1283900736/image_1283900736.jpg
4136042,2024-08-07T10:39:39-04:00,"Ralph Lauren benefits from international demand in Q1, posts results beat",57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1498740601/image_1498740601.jpg
4135850,2024-08-07T08:07:03-04:00,Ralph Lauren beats top-line and bottom-line estimates; initiates Q2 and reaffirms FY25 outlook,52365730,0,tag,,
4135172,2024-08-06T13:22:21-04:00,Ralph Lauren Q1 2025 Earnings Preview,54603272,0,tag,,
4149708,2024-09-13T16:06:21-04:00,Ralph Lauren declares $0.825 dividend,54931997,1,tag,,
4143533,2024-08-25T09:00:00-04:00,Softlines second half outlook moderately more bullish,59695326,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1141999456/image_1141999456.jpg
4142222,2024-08-21T07:23:02-04:00,Most shorted S&P 500 stocks in July,54434154,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1283900736/image_1283900736.jpg
4136042,2024-08-07T10:39:39-04:00,"Ralph Lauren benefits from international demand in Q1, posts results beat",57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1498740601/image_1498740601.jpg
4135850,2024-08-07T08:07:03-04:00,Ralph Lauren beats top-line and bottom-line estimates; initiates Q2 and reaffirms FY25 outlook,52365730,0,tag,,
4135172,2024-08-06T13:22:21-04:00,Ralph Lauren Q1 2025 Earnings Preview,54603272,0,tag,,
4149708,2024-09-13T16:06:21-04:00,Ralph Lauren declares $0.825 dividend,54931997,1,tag,,
4143533,2024-08-25T09:00:00-04:00,Softlines second half outlook moderately more bullish,59695326,2,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1141999456/image_1141999456.jpg
4142222,2024-08-21T07:23:02-04:00,Most shorted S&P 500 stocks in July,54434154,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1283900736/image_1283900736.jpg
