ID,Publish Date,Title,Author ID,Comment Count,Primary Tickers,Secondary Tickers,Image URL
4143016,2024-08-22T13:14:29-04:00,"Brown-Forman ends DEI policies, pulls out of HRC ranking",59695326,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/148413121/image_148413121.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4145036,2024-08-29T08:25:16-04:00,Brown-Forman sees international sales lag U.S. in FQ1,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1251355548/image_1251355548.jpg
4145025,2024-08-29T08:07:04-04:00,Brown-Forman misses top-line and bottom-line estimates; reaffirms FY25 outlook,52365730,15,tag,,
4144730,2024-08-28T14:34:50-04:00,Ford joins growing list of companies revising DEI policies amid backlash,54434154,112,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1192891571/image_1192891571.jpg
4144672,2024-08-28T12:31:40-04:00,Brown-Forman Q1 2025 Earnings Preview,59062064,0,tag,,
4143016,2024-08-22T13:14:29-04:00,"Brown-Forman ends DEI policies, pulls out of HRC ranking",59695326,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/148413121/image_148413121.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4145036,2024-08-29T08:25:16-04:00,Brown-Forman sees international sales lag U.S. in FQ1,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1251355548/image_1251355548.jpg
4145025,2024-08-29T08:07:04-04:00,Brown-Forman misses top-line and bottom-line estimates; reaffirms FY25 outlook,52365730,15,tag,,
4144730,2024-08-28T14:34:50-04:00,Ford joins growing list of companies revising DEI policies amid backlash,54434154,112,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1192891571/image_1192891571.jpg
4144672,2024-08-28T12:31:40-04:00,Brown-Forman Q1 2025 Earnings Preview,59062064,0,tag,,
4143016,2024-08-22T13:14:29-04:00,"Brown-Forman ends DEI policies, pulls out of HRC ranking",59695326,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/148413121/image_148413121.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4145036,2024-08-29T08:25:16-04:00,Brown-Forman sees international sales lag U.S. in FQ1,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1251355548/image_1251355548.jpg
4145025,2024-08-29T08:07:04-04:00,Brown-Forman misses top-line and bottom-line estimates; reaffirms FY25 outlook,52365730,15,tag,,
4144730,2024-08-28T14:34:50-04:00,Ford joins growing list of companies revising DEI policies amid backlash,54434154,112,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1192891571/image_1192891571.jpg
4144672,2024-08-28T12:31:40-04:00,Brown-Forman Q1 2025 Earnings Preview,59062064,0,tag,,
4143016,2024-08-22T13:14:29-04:00,"Brown-Forman ends DEI policies, pulls out of HRC ranking",59695326,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/148413121/image_148413121.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4145036,2024-08-29T08:25:16-04:00,Brown-Forman sees international sales lag U.S. in FQ1,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1251355548/image_1251355548.jpg
4145025,2024-08-29T08:07:04-04:00,Brown-Forman misses top-line and bottom-line estimates; reaffirms FY25 outlook,52365730,15,tag,,
4144730,2024-08-28T14:34:50-04:00,Ford joins growing list of companies revising DEI policies amid backlash,54434154,112,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1192891571/image_1192891571.jpg
4144672,2024-08-28T12:31:40-04:00,Brown-Forman Q1 2025 Earnings Preview,59062064,0,tag,,
4143016,2024-08-22T13:14:29-04:00,"Brown-Forman ends DEI policies, pulls out of HRC ranking",59695326,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/148413121/image_148413121.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4145036,2024-08-29T08:25:16-04:00,Brown-Forman sees international sales lag U.S. in FQ1,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1251355548/image_1251355548.jpg
4145025,2024-08-29T08:07:04-04:00,Brown-Forman misses top-line and bottom-line estimates; reaffirms FY25 outlook,52365730,15,tag,,
4144730,2024-08-28T14:34:50-04:00,Ford joins growing list of companies revising DEI policies amid backlash,54434154,112,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1192891571/image_1192891571.jpg
4144672,2024-08-28T12:31:40-04:00,Brown-Forman Q1 2025 Earnings Preview,59062064,0,tag,,
4143016,2024-08-22T13:14:29-04:00,"Brown-Forman ends DEI policies, pulls out of HRC ranking",59695326,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/148413121/image_148413121.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4145036,2024-08-29T08:25:16-04:00,Brown-Forman sees international sales lag U.S. in FQ1,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1251355548/image_1251355548.jpg
4145025,2024-08-29T08:07:04-04:00,Brown-Forman misses top-line and bottom-line estimates; reaffirms FY25 outlook,52365730,15,tag,,
4144730,2024-08-28T14:34:50-04:00,Ford joins growing list of companies revising DEI policies amid backlash,54434154,112,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1192891571/image_1192891571.jpg
4144672,2024-08-28T12:31:40-04:00,Brown-Forman Q1 2025 Earnings Preview,59062064,0,tag,,
4143016,2024-08-22T13:14:29-04:00,"Brown-Forman ends DEI policies, pulls out of HRC ranking",59695326,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/148413121/image_148413121.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4145036,2024-08-29T08:25:16-04:00,Brown-Forman sees international sales lag U.S. in FQ1,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1251355548/image_1251355548.jpg
4145025,2024-08-29T08:07:04-04:00,Brown-Forman misses top-line and bottom-line estimates; reaffirms FY25 outlook,52365730,15,tag,,
4144730,2024-08-28T14:34:50-04:00,Ford joins growing list of companies revising DEI policies amid backlash,54434154,112,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1192891571/image_1192891571.jpg
4144672,2024-08-28T12:31:40-04:00,Brown-Forman Q1 2025 Earnings Preview,59062064,0,tag,,
4143016,2024-08-22T13:14:29-04:00,"Brown-Forman ends DEI policies, pulls out of HRC ranking",59695326,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/148413121/image_148413121.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4145036,2024-08-29T08:25:16-04:00,Brown-Forman sees international sales lag U.S. in FQ1,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1251355548/image_1251355548.jpg
4145025,2024-08-29T08:07:04-04:00,Brown-Forman misses top-line and bottom-line estimates; reaffirms FY25 outlook,52365730,15,tag,,
4144730,2024-08-28T14:34:50-04:00,Ford joins growing list of companies revising DEI policies amid backlash,54434154,112,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1192891571/image_1192891571.jpg
4144672,2024-08-28T12:31:40-04:00,Brown-Forman Q1 2025 Earnings Preview,59062064,0,tag,,
4143016,2024-08-22T13:14:29-04:00,"Brown-Forman ends DEI policies, pulls out of HRC ranking",59695326,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/148413121/image_148413121.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4145036,2024-08-29T08:25:16-04:00,Brown-Forman sees international sales lag U.S. in FQ1,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1251355548/image_1251355548.jpg
4145025,2024-08-29T08:07:04-04:00,Brown-Forman misses top-line and bottom-line estimates; reaffirms FY25 outlook,52365730,15,tag,,
4144730,2024-08-28T14:34:50-04:00,Ford joins growing list of companies revising DEI policies amid backlash,54434154,112,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1192891571/image_1192891571.jpg
4144672,2024-08-28T12:31:40-04:00,Brown-Forman Q1 2025 Earnings Preview,59062064,0,tag,,
4143016,2024-08-22T13:14:29-04:00,"Brown-Forman ends DEI policies, pulls out of HRC ranking",59695326,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/148413121/image_148413121.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4145036,2024-08-29T08:25:16-04:00,Brown-Forman sees international sales lag U.S. in FQ1,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1251355548/image_1251355548.jpg
4145025,2024-08-29T08:07:04-04:00,Brown-Forman misses top-line and bottom-line estimates; reaffirms FY25 outlook,52365730,15,tag,,
4144730,2024-08-28T14:34:50-04:00,Ford joins growing list of companies revising DEI policies amid backlash,54434154,112,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1192891571/image_1192891571.jpg
4144672,2024-08-28T12:31:40-04:00,Brown-Forman Q1 2025 Earnings Preview,59062064,0,tag,,
4143016,2024-08-22T13:14:29-04:00,"Brown-Forman ends DEI policies, pulls out of HRC ranking",59695326,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/148413121/image_148413121.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4145036,2024-08-29T08:25:16-04:00,Brown-Forman sees international sales lag U.S. in FQ1,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1251355548/image_1251355548.jpg
4145025,2024-08-29T08:07:04-04:00,Brown-Forman misses top-line and bottom-line estimates; reaffirms FY25 outlook,52365730,15,tag,,
4144730,2024-08-28T14:34:50-04:00,Ford joins growing list of companies revising DEI policies amid backlash,54434154,112,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1192891571/image_1192891571.jpg
4144672,2024-08-28T12:31:40-04:00,Brown-Forman Q1 2025 Earnings Preview,59062064,0,tag,,
4143016,2024-08-22T13:14:29-04:00,"Brown-Forman ends DEI policies, pulls out of HRC ranking",59695326,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/148413121/image_148413121.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4145036,2024-08-29T08:25:16-04:00,Brown-Forman sees international sales lag U.S. in FQ1,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1251355548/image_1251355548.jpg
4145025,2024-08-29T08:07:04-04:00,Brown-Forman misses top-line and bottom-line estimates; reaffirms FY25 outlook,52365730,15,tag,,
4144730,2024-08-28T14:34:50-04:00,Ford joins growing list of companies revising DEI policies amid backlash,54434154,112,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1192891571/image_1192891571.jpg
4144672,2024-08-28T12:31:40-04:00,Brown-Forman Q1 2025 Earnings Preview,59062064,0,tag,,
4143016,2024-08-22T13:14:29-04:00,"Brown-Forman ends DEI policies, pulls out of HRC ranking",59695326,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/148413121/image_148413121.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4145036,2024-08-29T08:25:16-04:00,Brown-Forman sees international sales lag U.S. in FQ1,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1251355548/image_1251355548.jpg
4145025,2024-08-29T08:07:04-04:00,Brown-Forman misses top-line and bottom-line estimates; reaffirms FY25 outlook,52365730,15,tag,,
4144730,2024-08-28T14:34:50-04:00,Ford joins growing list of companies revising DEI policies amid backlash,54434154,112,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1192891571/image_1192891571.jpg
4144672,2024-08-28T12:31:40-04:00,Brown-Forman Q1 2025 Earnings Preview,59062064,0,tag,,
4143016,2024-08-22T13:14:29-04:00,"Brown-Forman ends DEI policies, pulls out of HRC ranking",59695326,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/148413121/image_148413121.jpg
4146289,2024-09-03T11:25:12-04:00,"Nielsen reads: Bang, Keurig Dr Pepper and Constellation Brands outperform",954720,13,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458552403/image_458552403.jpg
4145036,2024-08-29T08:25:16-04:00,Brown-Forman sees international sales lag U.S. in FQ1,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1251355548/image_1251355548.jpg
4145025,2024-08-29T08:07:04-04:00,Brown-Forman misses top-line and bottom-line estimates; reaffirms FY25 outlook,52365730,15,tag,,
4144730,2024-08-28T14:34:50-04:00,Ford joins growing list of companies revising DEI policies amid backlash,54434154,112,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1192891571/image_1192891571.jpg
4144672,2024-08-28T12:31:40-04:00,Brown-Forman Q1 2025 Earnings Preview,59062064,0,tag,,
4143016,2024-08-22T13:14:29-04:00,"Brown-Forman ends DEI policies, pulls out of HRC ranking",59695326,34,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/148413121/image_148413121.jpg
