ID,Publish Date,Title,Author ID,Comment Count,Primary Tickers,Secondary Tickers,Image URL
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4215652,2024-10-28T16:07:32-04:00,"V.F. Corp Non-GAAP EPS of $0.60 beats by $0.23, revenue of $2.8B beats by $90M",54931997,7,tag,,
4212340,2024-10-28T00:32:33-04:00,V.F. Corp Q2 2025 Earnings Preview,32439325,0,tag,,
4183832,2024-10-21T10:27:54-04:00,V.F. Corp placed on negative catalyst watch as inflection point still pending - analyst,59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/82866154/image_82866154.jpg
4158280,2024-10-14T12:13:57-04:00,"Retail names downgraded with Chinese demand, turnaround efforts in question",59695326,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1191557018/image_1191557018.jpg
4157873,2024-10-11T08:59:43-04:00,"Timeline for VF Corp turnaround uncertain, but Supreme sale a good start - analyst",59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4212340,2024-10-28T00:32:33-04:00,V.F. Corp Q2 2025 Earnings Preview,32439325,0,tag,,
4183832,2024-10-21T10:27:54-04:00,V.F. Corp placed on negative catalyst watch as inflection point still pending - analyst,59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/82866154/image_82866154.jpg
4158280,2024-10-14T12:13:57-04:00,"Retail names downgraded with Chinese demand, turnaround efforts in question",59695326,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1191557018/image_1191557018.jpg
4157873,2024-10-11T08:59:43-04:00,"Timeline for VF Corp turnaround uncertain, but Supreme sale a good start - analyst",59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4183832,2024-10-21T10:27:54-04:00,V.F. Corp placed on negative catalyst watch as inflection point still pending - analyst,59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/82866154/image_82866154.jpg
4158280,2024-10-14T12:13:57-04:00,"Retail names downgraded with Chinese demand, turnaround efforts in question",59695326,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1191557018/image_1191557018.jpg
4157873,2024-10-11T08:59:43-04:00,"Timeline for VF Corp turnaround uncertain, but Supreme sale a good start - analyst",59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4183832,2024-10-21T10:27:54-04:00,V.F. Corp placed on negative catalyst watch as inflection point still pending - analyst,59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/82866154/image_82866154.jpg
4158280,2024-10-14T12:13:57-04:00,"Retail names downgraded with Chinese demand, turnaround efforts in question",59695326,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1191557018/image_1191557018.jpg
4157873,2024-10-11T08:59:43-04:00,"Timeline for VF Corp turnaround uncertain, but Supreme sale a good start - analyst",59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4183832,2024-10-21T10:27:54-04:00,V.F. Corp placed on negative catalyst watch as inflection point still pending - analyst,59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/82866154/image_82866154.jpg
4158280,2024-10-14T12:13:57-04:00,"Retail names downgraded with Chinese demand, turnaround efforts in question",59695326,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1191557018/image_1191557018.jpg
4157873,2024-10-11T08:59:43-04:00,"Timeline for VF Corp turnaround uncertain, but Supreme sale a good start - analyst",59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4183832,2024-10-21T10:27:54-04:00,V.F. Corp placed on negative catalyst watch as inflection point still pending - analyst,59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/82866154/image_82866154.jpg
4158280,2024-10-14T12:13:57-04:00,"Retail names downgraded with Chinese demand, turnaround efforts in question",59695326,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1191557018/image_1191557018.jpg
4157873,2024-10-11T08:59:43-04:00,"Timeline for VF Corp turnaround uncertain, but Supreme sale a good start - analyst",59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4183832,2024-10-21T10:27:54-04:00,V.F. Corp placed on negative catalyst watch as inflection point still pending - analyst,59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/82866154/image_82866154.jpg
4158280,2024-10-14T12:13:57-04:00,"Retail names downgraded with Chinese demand, turnaround efforts in question",59695326,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1191557018/image_1191557018.jpg
4157873,2024-10-11T08:59:43-04:00,"Timeline for VF Corp turnaround uncertain, but Supreme sale a good start - analyst",59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4183832,2024-10-21T10:27:54-04:00,V.F. Corp placed on negative catalyst watch as inflection point still pending - analyst,59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/82866154/image_82866154.jpg
4158280,2024-10-14T12:13:57-04:00,"Retail names downgraded with Chinese demand, turnaround efforts in question",59695326,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1191557018/image_1191557018.jpg
4157873,2024-10-11T08:59:43-04:00,"Timeline for VF Corp turnaround uncertain, but Supreme sale a good start - analyst",59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4158280,2024-10-14T12:13:57-04:00,"Retail names downgraded with Chinese demand, turnaround efforts in question",59695326,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1191557018/image_1191557018.jpg
4157873,2024-10-11T08:59:43-04:00,"Timeline for VF Corp turnaround uncertain, but Supreme sale a good start - analyst",59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4158280,2024-10-14T12:13:57-04:00,"Retail names downgraded with Chinese demand, turnaround efforts in question",59695326,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1191557018/image_1191557018.jpg
4157873,2024-10-11T08:59:43-04:00,"Timeline for VF Corp turnaround uncertain, but Supreme sale a good start - analyst",59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4158280,2024-10-14T12:13:57-04:00,"Retail names downgraded with Chinese demand, turnaround efforts in question",59695326,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1191557018/image_1191557018.jpg
4157873,2024-10-11T08:59:43-04:00,"Timeline for VF Corp turnaround uncertain, but Supreme sale a good start - analyst",59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4158280,2024-10-14T12:13:57-04:00,"Retail names downgraded with Chinese demand, turnaround efforts in question",59695326,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1191557018/image_1191557018.jpg
4157873,2024-10-11T08:59:43-04:00,"Timeline for VF Corp turnaround uncertain, but Supreme sale a good start - analyst",59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4158280,2024-10-14T12:13:57-04:00,"Retail names downgraded with Chinese demand, turnaround efforts in question",59695326,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1191557018/image_1191557018.jpg
4157873,2024-10-11T08:59:43-04:00,"Timeline for VF Corp turnaround uncertain, but Supreme sale a good start - analyst",59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4158280,2024-10-14T12:13:57-04:00,"Retail names downgraded with Chinese demand, turnaround efforts in question",59695326,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1191557018/image_1191557018.jpg
4157873,2024-10-11T08:59:43-04:00,"Timeline for VF Corp turnaround uncertain, but Supreme sale a good start - analyst",59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4158280,2024-10-14T12:13:57-04:00,"Retail names downgraded with Chinese demand, turnaround efforts in question",59695326,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1191557018/image_1191557018.jpg
4157873,2024-10-11T08:59:43-04:00,"Timeline for VF Corp turnaround uncertain, but Supreme sale a good start - analyst",59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4157873,2024-10-11T08:59:43-04:00,"Timeline for VF Corp turnaround uncertain, but Supreme sale a good start - analyst",59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4157873,2024-10-11T08:59:43-04:00,"Timeline for VF Corp turnaround uncertain, but Supreme sale a good start - analyst",59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4157873,2024-10-11T08:59:43-04:00,"Timeline for VF Corp turnaround uncertain, but Supreme sale a good start - analyst",59695326,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
4135879,2024-08-07T08:21:20-04:00,V.F. Corp declares $0.09 dividend,54603272,0,tag,,
4135329,2024-08-06T16:20:52-04:00,"V.F. Corp Non-GAAP EPS of -$0.33 beats by $0.04, revenue of $1.91B beats by $60M",49282475,15,tag,,
4134118,2024-08-05T17:35:49-04:00,V.F. Corp Q1 2025 Earnings Preview,54603272,1,tag,,
4150615,2024-09-18T08:36:29-04:00,V.F. Corp approaching inflection point under new leadership - analyst,59695326,3,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586356380/image_586356380.jpg
