ID,Publish Date,Title,Author ID,Comment Count,Primary Tickers,Secondary Tickers,Image URL
4154935,2024-10-01T08:20:07-04:00,"Wells Fargo announces its Q4 tactical ideas list and includes TSLA, LVS, ULTA, and others",53367831,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/165649635/image_165649635.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150283,2024-09-17T08:43:56-04:00,Here are the pockets of strength in the retail sales report,954720,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1704990880/image_1704990880.jpg
4148346,2024-09-10T09:19:52-04:00,"Challenges facing the beauty industry: B. Riley initiates coverage of e.l.f., Ulta, and Estée Lauder",59695326,10,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1390665987/image_1390665987.jpg
4147814,2024-09-08T09:00:00-04:00,Standouts among consumer categories amid shifting market dynamics,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1421604807/image_1421604807.jpg
4145333,2024-08-29T16:52:52-04:00,Ulta Beauty stock takes an ugly turn after results and forecast miss,57442451,51,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458595805/image_458595805.jpg
4145288,2024-08-29T16:11:42-04:00,"Ulta Beauty GAAP EPS of $5.30 misses by $0.15, revenue of $2.6B misses by $10M",56260577,31,tag,,
4144677,2024-08-28T17:35:16-04:00,Ulta Beauty Q2 2025 Earnings Preview,59062064,0,tag,,
4141163,2024-08-16T14:06:23-04:00,"Volume Leaders: BABA, PLTR, HRB, and more",53367831,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1934254727/image_1934254727.jpg
4140535,2024-08-15T10:20:01-04:00,Retailers rip big gains after Walmart says it does not expect a recession,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458581549/image_458581549.jpg
4140096,2024-08-14T17:03:40-04:00,"Warren Buffett's Berkshire Hathaway's Q2 adds Ulta, sheds Snowflake, others",49447318,178,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1541106661/image_1541106661.jpg
4136022,2024-08-07T10:16:18-04:00,Potential winners and losers if the retail sector sees some dark days,954720,11,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/817646498/image_817646498.jpg
4164412,2024-10-16T08:42:26-04:00,Ulta Beauty reiterates lackluster FY24 guidance,59695326,9,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1254679175/image_1254679175.jpg
4157956,2024-10-11T15:00:23-04:00,"Catalyst Watch: Netflix earnings, Lenovo tech event, Paris Motor Show, and eyes on oil",954720,4,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/495292852/image_495292852.jpg
4154935,2024-10-01T08:20:07-04:00,"Wells Fargo announces its Q4 tactical ideas list and includes TSLA, LVS, ULTA, and others",53367831,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/165649635/image_165649635.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150283,2024-09-17T08:43:56-04:00,Here are the pockets of strength in the retail sales report,954720,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1704990880/image_1704990880.jpg
4148346,2024-09-10T09:19:52-04:00,"Challenges facing the beauty industry: B. Riley initiates coverage of e.l.f., Ulta, and Estée Lauder",59695326,10,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1390665987/image_1390665987.jpg
4147814,2024-09-08T09:00:00-04:00,Standouts among consumer categories amid shifting market dynamics,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1421604807/image_1421604807.jpg
4145333,2024-08-29T16:52:52-04:00,Ulta Beauty stock takes an ugly turn after results and forecast miss,57442451,51,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458595805/image_458595805.jpg
4145288,2024-08-29T16:11:42-04:00,"Ulta Beauty GAAP EPS of $5.30 misses by $0.15, revenue of $2.6B misses by $10M",56260577,31,tag,,
4144677,2024-08-28T17:35:16-04:00,Ulta Beauty Q2 2025 Earnings Preview,59062064,0,tag,,
4141163,2024-08-16T14:06:23-04:00,"Volume Leaders: BABA, PLTR, HRB, and more",53367831,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1934254727/image_1934254727.jpg
4140535,2024-08-15T10:20:01-04:00,Retailers rip big gains after Walmart says it does not expect a recession,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458581549/image_458581549.jpg
4140096,2024-08-14T17:03:40-04:00,"Warren Buffett's Berkshire Hathaway's Q2 adds Ulta, sheds Snowflake, others",49447318,178,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1541106661/image_1541106661.jpg
4136022,2024-08-07T10:16:18-04:00,Potential winners and losers if the retail sector sees some dark days,954720,11,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/817646498/image_817646498.jpg
4164412,2024-10-16T08:42:26-04:00,Ulta Beauty reiterates lackluster FY24 guidance,59695326,9,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1254679175/image_1254679175.jpg
4157956,2024-10-11T15:00:23-04:00,"Catalyst Watch: Netflix earnings, Lenovo tech event, Paris Motor Show, and eyes on oil",954720,4,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/495292852/image_495292852.jpg
4154935,2024-10-01T08:20:07-04:00,"Wells Fargo announces its Q4 tactical ideas list and includes TSLA, LVS, ULTA, and others",53367831,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/165649635/image_165649635.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150283,2024-09-17T08:43:56-04:00,Here are the pockets of strength in the retail sales report,954720,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1704990880/image_1704990880.jpg
4148346,2024-09-10T09:19:52-04:00,"Challenges facing the beauty industry: B. Riley initiates coverage of e.l.f., Ulta, and Estée Lauder",59695326,10,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1390665987/image_1390665987.jpg
4147814,2024-09-08T09:00:00-04:00,Standouts among consumer categories amid shifting market dynamics,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1421604807/image_1421604807.jpg
4145333,2024-08-29T16:52:52-04:00,Ulta Beauty stock takes an ugly turn after results and forecast miss,57442451,51,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458595805/image_458595805.jpg
4145288,2024-08-29T16:11:42-04:00,"Ulta Beauty GAAP EPS of $5.30 misses by $0.15, revenue of $2.6B misses by $10M",56260577,31,tag,,
4144677,2024-08-28T17:35:16-04:00,Ulta Beauty Q2 2025 Earnings Preview,59062064,0,tag,,
4141163,2024-08-16T14:06:23-04:00,"Volume Leaders: BABA, PLTR, HRB, and more",53367831,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1934254727/image_1934254727.jpg
4140535,2024-08-15T10:20:01-04:00,Retailers rip big gains after Walmart says it does not expect a recession,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458581549/image_458581549.jpg
4140096,2024-08-14T17:03:40-04:00,"Warren Buffett's Berkshire Hathaway's Q2 adds Ulta, sheds Snowflake, others",49447318,178,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1541106661/image_1541106661.jpg
4136022,2024-08-07T10:16:18-04:00,Potential winners and losers if the retail sector sees some dark days,954720,11,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/817646498/image_817646498.jpg
4164412,2024-10-16T08:42:26-04:00,Ulta Beauty reiterates lackluster FY24 guidance,59695326,9,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1254679175/image_1254679175.jpg
4157956,2024-10-11T15:00:23-04:00,"Catalyst Watch: Netflix earnings, Lenovo tech event, Paris Motor Show, and eyes on oil",954720,4,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/495292852/image_495292852.jpg
4154935,2024-10-01T08:20:07-04:00,"Wells Fargo announces its Q4 tactical ideas list and includes TSLA, LVS, ULTA, and others",53367831,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/165649635/image_165649635.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150283,2024-09-17T08:43:56-04:00,Here are the pockets of strength in the retail sales report,954720,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1704990880/image_1704990880.jpg
4148346,2024-09-10T09:19:52-04:00,"Challenges facing the beauty industry: B. Riley initiates coverage of e.l.f., Ulta, and Estée Lauder",59695326,10,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1390665987/image_1390665987.jpg
4147814,2024-09-08T09:00:00-04:00,Standouts among consumer categories amid shifting market dynamics,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1421604807/image_1421604807.jpg
4145333,2024-08-29T16:52:52-04:00,Ulta Beauty stock takes an ugly turn after results and forecast miss,57442451,51,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458595805/image_458595805.jpg
4145288,2024-08-29T16:11:42-04:00,"Ulta Beauty GAAP EPS of $5.30 misses by $0.15, revenue of $2.6B misses by $10M",56260577,31,tag,,
4144677,2024-08-28T17:35:16-04:00,Ulta Beauty Q2 2025 Earnings Preview,59062064,0,tag,,
4141163,2024-08-16T14:06:23-04:00,"Volume Leaders: BABA, PLTR, HRB, and more",53367831,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1934254727/image_1934254727.jpg
4140535,2024-08-15T10:20:01-04:00,Retailers rip big gains after Walmart says it does not expect a recession,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458581549/image_458581549.jpg
4140096,2024-08-14T17:03:40-04:00,"Warren Buffett's Berkshire Hathaway's Q2 adds Ulta, sheds Snowflake, others",49447318,178,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1541106661/image_1541106661.jpg
4136022,2024-08-07T10:16:18-04:00,Potential winners and losers if the retail sector sees some dark days,954720,11,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/817646498/image_817646498.jpg
4164412,2024-10-16T08:42:26-04:00,Ulta Beauty reiterates lackluster FY24 guidance,59695326,9,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1254679175/image_1254679175.jpg
4157956,2024-10-11T15:00:23-04:00,"Catalyst Watch: Netflix earnings, Lenovo tech event, Paris Motor Show, and eyes on oil",954720,4,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/495292852/image_495292852.jpg
4154935,2024-10-01T08:20:07-04:00,"Wells Fargo announces its Q4 tactical ideas list and includes TSLA, LVS, ULTA, and others",53367831,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/165649635/image_165649635.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150283,2024-09-17T08:43:56-04:00,Here are the pockets of strength in the retail sales report,954720,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1704990880/image_1704990880.jpg
4148346,2024-09-10T09:19:52-04:00,"Challenges facing the beauty industry: B. Riley initiates coverage of e.l.f., Ulta, and Estée Lauder",59695326,10,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1390665987/image_1390665987.jpg
4147814,2024-09-08T09:00:00-04:00,Standouts among consumer categories amid shifting market dynamics,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1421604807/image_1421604807.jpg
4145333,2024-08-29T16:52:52-04:00,Ulta Beauty stock takes an ugly turn after results and forecast miss,57442451,51,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458595805/image_458595805.jpg
4145288,2024-08-29T16:11:42-04:00,"Ulta Beauty GAAP EPS of $5.30 misses by $0.15, revenue of $2.6B misses by $10M",56260577,31,tag,,
4144677,2024-08-28T17:35:16-04:00,Ulta Beauty Q2 2025 Earnings Preview,59062064,0,tag,,
4141163,2024-08-16T14:06:23-04:00,"Volume Leaders: BABA, PLTR, HRB, and more",53367831,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1934254727/image_1934254727.jpg
4140535,2024-08-15T10:20:01-04:00,Retailers rip big gains after Walmart says it does not expect a recession,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458581549/image_458581549.jpg
4140096,2024-08-14T17:03:40-04:00,"Warren Buffett's Berkshire Hathaway's Q2 adds Ulta, sheds Snowflake, others",49447318,178,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1541106661/image_1541106661.jpg
4136022,2024-08-07T10:16:18-04:00,Potential winners and losers if the retail sector sees some dark days,954720,11,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/817646498/image_817646498.jpg
4164412,2024-10-16T08:42:26-04:00,Ulta Beauty reiterates lackluster FY24 guidance,59695326,9,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1254679175/image_1254679175.jpg
4157956,2024-10-11T15:00:23-04:00,"Catalyst Watch: Netflix earnings, Lenovo tech event, Paris Motor Show, and eyes on oil",954720,4,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/495292852/image_495292852.jpg
4154935,2024-10-01T08:20:07-04:00,"Wells Fargo announces its Q4 tactical ideas list and includes TSLA, LVS, ULTA, and others",53367831,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/165649635/image_165649635.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150283,2024-09-17T08:43:56-04:00,Here are the pockets of strength in the retail sales report,954720,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1704990880/image_1704990880.jpg
4148346,2024-09-10T09:19:52-04:00,"Challenges facing the beauty industry: B. Riley initiates coverage of e.l.f., Ulta, and Estée Lauder",59695326,10,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1390665987/image_1390665987.jpg
4147814,2024-09-08T09:00:00-04:00,Standouts among consumer categories amid shifting market dynamics,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1421604807/image_1421604807.jpg
4145333,2024-08-29T16:52:52-04:00,Ulta Beauty stock takes an ugly turn after results and forecast miss,57442451,51,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458595805/image_458595805.jpg
4145288,2024-08-29T16:11:42-04:00,"Ulta Beauty GAAP EPS of $5.30 misses by $0.15, revenue of $2.6B misses by $10M",56260577,31,tag,,
4144677,2024-08-28T17:35:16-04:00,Ulta Beauty Q2 2025 Earnings Preview,59062064,0,tag,,
4141163,2024-08-16T14:06:23-04:00,"Volume Leaders: BABA, PLTR, HRB, and more",53367831,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1934254727/image_1934254727.jpg
4140535,2024-08-15T10:20:01-04:00,Retailers rip big gains after Walmart says it does not expect a recession,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458581549/image_458581549.jpg
4140096,2024-08-14T17:03:40-04:00,"Warren Buffett's Berkshire Hathaway's Q2 adds Ulta, sheds Snowflake, others",49447318,178,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1541106661/image_1541106661.jpg
4136022,2024-08-07T10:16:18-04:00,Potential winners and losers if the retail sector sees some dark days,954720,11,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/817646498/image_817646498.jpg
4164412,2024-10-16T08:42:26-04:00,Ulta Beauty reiterates lackluster FY24 guidance,59695326,9,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1254679175/image_1254679175.jpg
4157956,2024-10-11T15:00:23-04:00,"Catalyst Watch: Netflix earnings, Lenovo tech event, Paris Motor Show, and eyes on oil",954720,4,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/495292852/image_495292852.jpg
4154935,2024-10-01T08:20:07-04:00,"Wells Fargo announces its Q4 tactical ideas list and includes TSLA, LVS, ULTA, and others",53367831,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/165649635/image_165649635.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150283,2024-09-17T08:43:56-04:00,Here are the pockets of strength in the retail sales report,954720,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1704990880/image_1704990880.jpg
4148346,2024-09-10T09:19:52-04:00,"Challenges facing the beauty industry: B. Riley initiates coverage of e.l.f., Ulta, and Estée Lauder",59695326,10,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1390665987/image_1390665987.jpg
4147814,2024-09-08T09:00:00-04:00,Standouts among consumer categories amid shifting market dynamics,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1421604807/image_1421604807.jpg
4145333,2024-08-29T16:52:52-04:00,Ulta Beauty stock takes an ugly turn after results and forecast miss,57442451,51,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458595805/image_458595805.jpg
4145288,2024-08-29T16:11:42-04:00,"Ulta Beauty GAAP EPS of $5.30 misses by $0.15, revenue of $2.6B misses by $10M",56260577,31,tag,,
4144677,2024-08-28T17:35:16-04:00,Ulta Beauty Q2 2025 Earnings Preview,59062064,0,tag,,
4141163,2024-08-16T14:06:23-04:00,"Volume Leaders: BABA, PLTR, HRB, and more",53367831,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1934254727/image_1934254727.jpg
4140535,2024-08-15T10:20:01-04:00,Retailers rip big gains after Walmart says it does not expect a recession,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458581549/image_458581549.jpg
4140096,2024-08-14T17:03:40-04:00,"Warren Buffett's Berkshire Hathaway's Q2 adds Ulta, sheds Snowflake, others",49447318,178,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1541106661/image_1541106661.jpg
4136022,2024-08-07T10:16:18-04:00,Potential winners and losers if the retail sector sees some dark days,954720,11,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/817646498/image_817646498.jpg
4164412,2024-10-16T08:42:26-04:00,Ulta Beauty reiterates lackluster FY24 guidance,59695326,9,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1254679175/image_1254679175.jpg
4157956,2024-10-11T15:00:23-04:00,"Catalyst Watch: Netflix earnings, Lenovo tech event, Paris Motor Show, and eyes on oil",954720,4,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/495292852/image_495292852.jpg
4154935,2024-10-01T08:20:07-04:00,"Wells Fargo announces its Q4 tactical ideas list and includes TSLA, LVS, ULTA, and others",53367831,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/165649635/image_165649635.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150283,2024-09-17T08:43:56-04:00,Here are the pockets of strength in the retail sales report,954720,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1704990880/image_1704990880.jpg
4148346,2024-09-10T09:19:52-04:00,"Challenges facing the beauty industry: B. Riley initiates coverage of e.l.f., Ulta, and Estée Lauder",59695326,10,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1390665987/image_1390665987.jpg
4147814,2024-09-08T09:00:00-04:00,Standouts among consumer categories amid shifting market dynamics,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1421604807/image_1421604807.jpg
4145333,2024-08-29T16:52:52-04:00,Ulta Beauty stock takes an ugly turn after results and forecast miss,57442451,51,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458595805/image_458595805.jpg
4145288,2024-08-29T16:11:42-04:00,"Ulta Beauty GAAP EPS of $5.30 misses by $0.15, revenue of $2.6B misses by $10M",56260577,31,tag,,
4144677,2024-08-28T17:35:16-04:00,Ulta Beauty Q2 2025 Earnings Preview,59062064,0,tag,,
4141163,2024-08-16T14:06:23-04:00,"Volume Leaders: BABA, PLTR, HRB, and more",53367831,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1934254727/image_1934254727.jpg
4140535,2024-08-15T10:20:01-04:00,Retailers rip big gains after Walmart says it does not expect a recession,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458581549/image_458581549.jpg
4140096,2024-08-14T17:03:40-04:00,"Warren Buffett's Berkshire Hathaway's Q2 adds Ulta, sheds Snowflake, others",49447318,178,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1541106661/image_1541106661.jpg
4136022,2024-08-07T10:16:18-04:00,Potential winners and losers if the retail sector sees some dark days,954720,11,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/817646498/image_817646498.jpg
4164412,2024-10-16T08:42:26-04:00,Ulta Beauty reiterates lackluster FY24 guidance,59695326,9,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1254679175/image_1254679175.jpg
4157956,2024-10-11T15:00:23-04:00,"Catalyst Watch: Netflix earnings, Lenovo tech event, Paris Motor Show, and eyes on oil",954720,4,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/495292852/image_495292852.jpg
4154935,2024-10-01T08:20:07-04:00,"Wells Fargo announces its Q4 tactical ideas list and includes TSLA, LVS, ULTA, and others",53367831,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/165649635/image_165649635.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150283,2024-09-17T08:43:56-04:00,Here are the pockets of strength in the retail sales report,954720,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1704990880/image_1704990880.jpg
4148346,2024-09-10T09:19:52-04:00,"Challenges facing the beauty industry: B. Riley initiates coverage of e.l.f., Ulta, and Estée Lauder",59695326,10,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1390665987/image_1390665987.jpg
4147814,2024-09-08T09:00:00-04:00,Standouts among consumer categories amid shifting market dynamics,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1421604807/image_1421604807.jpg
4145333,2024-08-29T16:52:52-04:00,Ulta Beauty stock takes an ugly turn after results and forecast miss,57442451,51,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458595805/image_458595805.jpg
4145288,2024-08-29T16:11:42-04:00,"Ulta Beauty GAAP EPS of $5.30 misses by $0.15, revenue of $2.6B misses by $10M",56260577,31,tag,,
4144677,2024-08-28T17:35:16-04:00,Ulta Beauty Q2 2025 Earnings Preview,59062064,0,tag,,
4141163,2024-08-16T14:06:23-04:00,"Volume Leaders: BABA, PLTR, HRB, and more",53367831,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1934254727/image_1934254727.jpg
4140535,2024-08-15T10:20:01-04:00,Retailers rip big gains after Walmart says it does not expect a recession,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/458581549/image_458581549.jpg
