ID,Publish Date,Title,Author ID,Comment Count,Primary Tickers,Secondary Tickers,Image URL
4150049,2024-09-16T13:29:30-04:00,Oppenheimer doesn't expect EA to give any 'detailed bookings guidance' at analyst day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4144256,2024-08-27T13:38:52-04:00,GameStop heads into earnings with video game sales in an improving trend,954720,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1474004891/image_1474004891.jpg
4143504,2024-08-24T07:30:00-04:00,These stocks could have an edge with college football and the NFL starting back up,954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/157435789/image_157435789.jpg
4215094,2024-10-28T17:35:45-04:00,Electronic Arts Q2 2025 Earnings Preview,49282475,0,tag,,
4196735,2024-10-23T14:19:52-04:00,"September videogame sales down 6% in the U.S., led by sharp drop in console spends",57442451,6,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1871855384/image_1871855384.jpg
4156477,2024-10-04T10:02:00-04:00,"Ubisoft jumps after report Tencent, Guillemot family evaluating takeover bid",52996117,10,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/115538142/image_115538142.jpg
4150819,2024-09-18T13:31:09-04:00,"BofA, Morgan Stanley share quick thoughts on EA's first investor day in eight years",57442451,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/145774234/image_145774234.jpg
4150450,2024-09-17T16:21:21-04:00,EA sees net bookings towards high-end of guidance range - Investor Day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150049,2024-09-16T13:29:30-04:00,Oppenheimer doesn't expect EA to give any 'detailed bookings guidance' at analyst day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4144256,2024-08-27T13:38:52-04:00,GameStop heads into earnings with video game sales in an improving trend,954720,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1474004891/image_1474004891.jpg
4143504,2024-08-24T07:30:00-04:00,These stocks could have an edge with college football and the NFL starting back up,954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/157435789/image_157435789.jpg
4196735,2024-10-23T14:19:52-04:00,"September videogame sales down 6% in the U.S., led by sharp drop in console spends",57442451,6,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1871855384/image_1871855384.jpg
4156477,2024-10-04T10:02:00-04:00,"Ubisoft jumps after report Tencent, Guillemot family evaluating takeover bid",52996117,10,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/115538142/image_115538142.jpg
4150819,2024-09-18T13:31:09-04:00,"BofA, Morgan Stanley share quick thoughts on EA's first investor day in eight years",57442451,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/145774234/image_145774234.jpg
4150450,2024-09-17T16:21:21-04:00,EA sees net bookings towards high-end of guidance range - Investor Day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150049,2024-09-16T13:29:30-04:00,Oppenheimer doesn't expect EA to give any 'detailed bookings guidance' at analyst day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4144256,2024-08-27T13:38:52-04:00,GameStop heads into earnings with video game sales in an improving trend,954720,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1474004891/image_1474004891.jpg
4143504,2024-08-24T07:30:00-04:00,These stocks could have an edge with college football and the NFL starting back up,954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/157435789/image_157435789.jpg
4196735,2024-10-23T14:19:52-04:00,"September videogame sales down 6% in the U.S., led by sharp drop in console spends",57442451,6,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1871855384/image_1871855384.jpg
4156477,2024-10-04T10:02:00-04:00,"Ubisoft jumps after report Tencent, Guillemot family evaluating takeover bid",52996117,10,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/115538142/image_115538142.jpg
4150819,2024-09-18T13:31:09-04:00,"BofA, Morgan Stanley share quick thoughts on EA's first investor day in eight years",57442451,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/145774234/image_145774234.jpg
4150450,2024-09-17T16:21:21-04:00,EA sees net bookings towards high-end of guidance range - Investor Day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150049,2024-09-16T13:29:30-04:00,Oppenheimer doesn't expect EA to give any 'detailed bookings guidance' at analyst day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4144256,2024-08-27T13:38:52-04:00,GameStop heads into earnings with video game sales in an improving trend,954720,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1474004891/image_1474004891.jpg
4143504,2024-08-24T07:30:00-04:00,These stocks could have an edge with college football and the NFL starting back up,954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/157435789/image_157435789.jpg
4196735,2024-10-23T14:19:52-04:00,"September videogame sales down 6% in the U.S., led by sharp drop in console spends",57442451,6,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1871855384/image_1871855384.jpg
4156477,2024-10-04T10:02:00-04:00,"Ubisoft jumps after report Tencent, Guillemot family evaluating takeover bid",52996117,10,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/115538142/image_115538142.jpg
4150819,2024-09-18T13:31:09-04:00,"BofA, Morgan Stanley share quick thoughts on EA's first investor day in eight years",57442451,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/145774234/image_145774234.jpg
4150450,2024-09-17T16:21:21-04:00,EA sees net bookings towards high-end of guidance range - Investor Day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150049,2024-09-16T13:29:30-04:00,Oppenheimer doesn't expect EA to give any 'detailed bookings guidance' at analyst day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4144256,2024-08-27T13:38:52-04:00,GameStop heads into earnings with video game sales in an improving trend,954720,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1474004891/image_1474004891.jpg
4143504,2024-08-24T07:30:00-04:00,These stocks could have an edge with college football and the NFL starting back up,954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/157435789/image_157435789.jpg
4196735,2024-10-23T14:19:52-04:00,"September videogame sales down 6% in the U.S., led by sharp drop in console spends",57442451,6,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1871855384/image_1871855384.jpg
4156477,2024-10-04T10:02:00-04:00,"Ubisoft jumps after report Tencent, Guillemot family evaluating takeover bid",52996117,10,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/115538142/image_115538142.jpg
4150819,2024-09-18T13:31:09-04:00,"BofA, Morgan Stanley share quick thoughts on EA's first investor day in eight years",57442451,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/145774234/image_145774234.jpg
4150450,2024-09-17T16:21:21-04:00,EA sees net bookings towards high-end of guidance range - Investor Day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150049,2024-09-16T13:29:30-04:00,Oppenheimer doesn't expect EA to give any 'detailed bookings guidance' at analyst day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4144256,2024-08-27T13:38:52-04:00,GameStop heads into earnings with video game sales in an improving trend,954720,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1474004891/image_1474004891.jpg
4143504,2024-08-24T07:30:00-04:00,These stocks could have an edge with college football and the NFL starting back up,954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/157435789/image_157435789.jpg
4196735,2024-10-23T14:19:52-04:00,"September videogame sales down 6% in the U.S., led by sharp drop in console spends",57442451,6,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1871855384/image_1871855384.jpg
4156477,2024-10-04T10:02:00-04:00,"Ubisoft jumps after report Tencent, Guillemot family evaluating takeover bid",52996117,10,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/115538142/image_115538142.jpg
4150819,2024-09-18T13:31:09-04:00,"BofA, Morgan Stanley share quick thoughts on EA's first investor day in eight years",57442451,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/145774234/image_145774234.jpg
4150450,2024-09-17T16:21:21-04:00,EA sees net bookings towards high-end of guidance range - Investor Day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150049,2024-09-16T13:29:30-04:00,Oppenheimer doesn't expect EA to give any 'detailed bookings guidance' at analyst day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4144256,2024-08-27T13:38:52-04:00,GameStop heads into earnings with video game sales in an improving trend,954720,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1474004891/image_1474004891.jpg
4143504,2024-08-24T07:30:00-04:00,These stocks could have an edge with college football and the NFL starting back up,954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/157435789/image_157435789.jpg
4156477,2024-10-04T10:02:00-04:00,"Ubisoft jumps after report Tencent, Guillemot family evaluating takeover bid",52996117,10,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/115538142/image_115538142.jpg
4150819,2024-09-18T13:31:09-04:00,"BofA, Morgan Stanley share quick thoughts on EA's first investor day in eight years",57442451,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/145774234/image_145774234.jpg
4150450,2024-09-17T16:21:21-04:00,EA sees net bookings towards high-end of guidance range - Investor Day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150049,2024-09-16T13:29:30-04:00,Oppenheimer doesn't expect EA to give any 'detailed bookings guidance' at analyst day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4144256,2024-08-27T13:38:52-04:00,GameStop heads into earnings with video game sales in an improving trend,954720,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1474004891/image_1474004891.jpg
4143504,2024-08-24T07:30:00-04:00,These stocks could have an edge with college football and the NFL starting back up,954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/157435789/image_157435789.jpg
4156477,2024-10-04T10:02:00-04:00,"Ubisoft jumps after report Tencent, Guillemot family evaluating takeover bid",52996117,10,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/115538142/image_115538142.jpg
4150819,2024-09-18T13:31:09-04:00,"BofA, Morgan Stanley share quick thoughts on EA's first investor day in eight years",57442451,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/145774234/image_145774234.jpg
4150450,2024-09-17T16:21:21-04:00,EA sees net bookings towards high-end of guidance range - Investor Day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150049,2024-09-16T13:29:30-04:00,Oppenheimer doesn't expect EA to give any 'detailed bookings guidance' at analyst day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4144256,2024-08-27T13:38:52-04:00,GameStop heads into earnings with video game sales in an improving trend,954720,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1474004891/image_1474004891.jpg
4143504,2024-08-24T07:30:00-04:00,These stocks could have an edge with college football and the NFL starting back up,954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/157435789/image_157435789.jpg
4156477,2024-10-04T10:02:00-04:00,"Ubisoft jumps after report Tencent, Guillemot family evaluating takeover bid",52996117,10,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/115538142/image_115538142.jpg
4150819,2024-09-18T13:31:09-04:00,"BofA, Morgan Stanley share quick thoughts on EA's first investor day in eight years",57442451,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/145774234/image_145774234.jpg
4150450,2024-09-17T16:21:21-04:00,EA sees net bookings towards high-end of guidance range - Investor Day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150049,2024-09-16T13:29:30-04:00,Oppenheimer doesn't expect EA to give any 'detailed bookings guidance' at analyst day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4144256,2024-08-27T13:38:52-04:00,GameStop heads into earnings with video game sales in an improving trend,954720,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1474004891/image_1474004891.jpg
4143504,2024-08-24T07:30:00-04:00,These stocks could have an edge with college football and the NFL starting back up,954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/157435789/image_157435789.jpg
4156477,2024-10-04T10:02:00-04:00,"Ubisoft jumps after report Tencent, Guillemot family evaluating takeover bid",52996117,10,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/115538142/image_115538142.jpg
4150819,2024-09-18T13:31:09-04:00,"BofA, Morgan Stanley share quick thoughts on EA's first investor day in eight years",57442451,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/145774234/image_145774234.jpg
4150450,2024-09-17T16:21:21-04:00,EA sees net bookings towards high-end of guidance range - Investor Day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150049,2024-09-16T13:29:30-04:00,Oppenheimer doesn't expect EA to give any 'detailed bookings guidance' at analyst day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4144256,2024-08-27T13:38:52-04:00,GameStop heads into earnings with video game sales in an improving trend,954720,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1474004891/image_1474004891.jpg
4143504,2024-08-24T07:30:00-04:00,These stocks could have an edge with college football and the NFL starting back up,954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/157435789/image_157435789.jpg
4156477,2024-10-04T10:02:00-04:00,"Ubisoft jumps after report Tencent, Guillemot family evaluating takeover bid",52996117,10,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/115538142/image_115538142.jpg
4150819,2024-09-18T13:31:09-04:00,"BofA, Morgan Stanley share quick thoughts on EA's first investor day in eight years",57442451,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/145774234/image_145774234.jpg
4150450,2024-09-17T16:21:21-04:00,EA sees net bookings towards high-end of guidance range - Investor Day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150049,2024-09-16T13:29:30-04:00,Oppenheimer doesn't expect EA to give any 'detailed bookings guidance' at analyst day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4144256,2024-08-27T13:38:52-04:00,GameStop heads into earnings with video game sales in an improving trend,954720,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1474004891/image_1474004891.jpg
4143504,2024-08-24T07:30:00-04:00,These stocks could have an edge with college football and the NFL starting back up,954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/157435789/image_157435789.jpg
4156477,2024-10-04T10:02:00-04:00,"Ubisoft jumps after report Tencent, Guillemot family evaluating takeover bid",52996117,10,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/115538142/image_115538142.jpg
4150819,2024-09-18T13:31:09-04:00,"BofA, Morgan Stanley share quick thoughts on EA's first investor day in eight years",57442451,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/145774234/image_145774234.jpg
4150450,2024-09-17T16:21:21-04:00,EA sees net bookings towards high-end of guidance range - Investor Day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150049,2024-09-16T13:29:30-04:00,Oppenheimer doesn't expect EA to give any 'detailed bookings guidance' at analyst day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4144256,2024-08-27T13:38:52-04:00,GameStop heads into earnings with video game sales in an improving trend,954720,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1474004891/image_1474004891.jpg
4143504,2024-08-24T07:30:00-04:00,These stocks could have an edge with college football and the NFL starting back up,954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/157435789/image_157435789.jpg
4156477,2024-10-04T10:02:00-04:00,"Ubisoft jumps after report Tencent, Guillemot family evaluating takeover bid",52996117,10,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/115538142/image_115538142.jpg
4150819,2024-09-18T13:31:09-04:00,"BofA, Morgan Stanley share quick thoughts on EA's first investor day in eight years",57442451,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/145774234/image_145774234.jpg
4150450,2024-09-17T16:21:21-04:00,EA sees net bookings towards high-end of guidance range - Investor Day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150049,2024-09-16T13:29:30-04:00,Oppenheimer doesn't expect EA to give any 'detailed bookings guidance' at analyst day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4144256,2024-08-27T13:38:52-04:00,GameStop heads into earnings with video game sales in an improving trend,954720,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1474004891/image_1474004891.jpg
4143504,2024-08-24T07:30:00-04:00,These stocks could have an edge with college football and the NFL starting back up,954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/157435789/image_157435789.jpg
4156477,2024-10-04T10:02:00-04:00,"Ubisoft jumps after report Tencent, Guillemot family evaluating takeover bid",52996117,10,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/115538142/image_115538142.jpg
4150819,2024-09-18T13:31:09-04:00,"BofA, Morgan Stanley share quick thoughts on EA's first investor day in eight years",57442451,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/145774234/image_145774234.jpg
4150450,2024-09-17T16:21:21-04:00,EA sees net bookings towards high-end of guidance range - Investor Day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150049,2024-09-16T13:29:30-04:00,Oppenheimer doesn't expect EA to give any 'detailed bookings guidance' at analyst day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4144256,2024-08-27T13:38:52-04:00,GameStop heads into earnings with video game sales in an improving trend,954720,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1474004891/image_1474004891.jpg
4143504,2024-08-24T07:30:00-04:00,These stocks could have an edge with college football and the NFL starting back up,954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/157435789/image_157435789.jpg
4156477,2024-10-04T10:02:00-04:00,"Ubisoft jumps after report Tencent, Guillemot family evaluating takeover bid",52996117,10,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/115538142/image_115538142.jpg
4150819,2024-09-18T13:31:09-04:00,"BofA, Morgan Stanley share quick thoughts on EA's first investor day in eight years",57442451,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/145774234/image_145774234.jpg
4150450,2024-09-17T16:21:21-04:00,EA sees net bookings towards high-end of guidance range - Investor Day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4150049,2024-09-16T13:29:30-04:00,Oppenheimer doesn't expect EA to give any 'detailed bookings guidance' at analyst day,57442451,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1202852880/image_1202852880.jpg
4144256,2024-08-27T13:38:52-04:00,GameStop heads into earnings with video game sales in an improving trend,954720,5,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1474004891/image_1474004891.jpg
4143504,2024-08-24T07:30:00-04:00,These stocks could have an edge with college football and the NFL starting back up,954720,12,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/157435789/image_157435789.jpg
4156477,2024-10-04T10:02:00-04:00,"Ubisoft jumps after report Tencent, Guillemot family evaluating takeover bid",52996117,10,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/115538142/image_115538142.jpg
