ID,Publish Date,Title,Author ID,Comment Count,Primary Tickers,Secondary Tickers,Image URL
4142349,2024-08-21T10:06:58-04:00,Retail revival: Target and TJX lift peers after surprising to the upside with their outlooks,954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1397974434/image_1397974434.jpg
4158087,2024-10-13T18:05:26-04:00,SA Asks: Which stocks would be most impacted by increased tariffs?,55634950,37,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/943893624/image_943893624.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4150406,2024-09-17T14:36:18-04:00,"Christmas shopping coming early this year, as retailers face economic worries, late Thanksgiving",54408948,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1093685538/image_1093685538.jpg
4148108,2024-09-09T15:19:07-04:00,The retail sector braces for a potential major port strike ahead of the holiday season,954720,8,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1053236664/image_1053236664.jpg
4143107,2024-08-22T17:07:20-04:00,"Earnings Summary: Ross Stores beats Q2 estimates, hikes profit guidance for FY24",59131291,1,tag,,
4143100,2024-08-22T16:50:59-04:00,"Ross Stores' value proposition resonates with consumers, Q2 results top expectations",59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2123430319/image_2123430319.jpg
4143062,2024-08-22T16:06:43-04:00,"Ross Stores GAAP EPS of $1.59 beats by $0.10, revenue of $5.29B beats by $40M",49282475,0,tag,,
4142605,2024-08-22T00:32:47-04:00,Ross Stores declares $0.3675 dividend,52365730,3,tag,,
4142419,2024-08-21T17:35:33-04:00,Ross Stores Q2 2025 Earnings Preview,49282475,0,tag,,
4142349,2024-08-21T10:06:58-04:00,Retail revival: Target and TJX lift peers after surprising to the upside with their outlooks,954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1397974434/image_1397974434.jpg
4158087,2024-10-13T18:05:26-04:00,SA Asks: Which stocks would be most impacted by increased tariffs?,55634950,37,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/943893624/image_943893624.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4150406,2024-09-17T14:36:18-04:00,"Christmas shopping coming early this year, as retailers face economic worries, late Thanksgiving",54408948,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1093685538/image_1093685538.jpg
4148108,2024-09-09T15:19:07-04:00,The retail sector braces for a potential major port strike ahead of the holiday season,954720,8,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1053236664/image_1053236664.jpg
4143107,2024-08-22T17:07:20-04:00,"Earnings Summary: Ross Stores beats Q2 estimates, hikes profit guidance for FY24",59131291,1,tag,,
4143100,2024-08-22T16:50:59-04:00,"Ross Stores' value proposition resonates with consumers, Q2 results top expectations",59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2123430319/image_2123430319.jpg
4143062,2024-08-22T16:06:43-04:00,"Ross Stores GAAP EPS of $1.59 beats by $0.10, revenue of $5.29B beats by $40M",49282475,0,tag,,
4142605,2024-08-22T00:32:47-04:00,Ross Stores declares $0.3675 dividend,52365730,3,tag,,
4142419,2024-08-21T17:35:33-04:00,Ross Stores Q2 2025 Earnings Preview,49282475,0,tag,,
4142349,2024-08-21T10:06:58-04:00,Retail revival: Target and TJX lift peers after surprising to the upside with their outlooks,954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1397974434/image_1397974434.jpg
4158087,2024-10-13T18:05:26-04:00,SA Asks: Which stocks would be most impacted by increased tariffs?,55634950,37,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/943893624/image_943893624.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4150406,2024-09-17T14:36:18-04:00,"Christmas shopping coming early this year, as retailers face economic worries, late Thanksgiving",54408948,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1093685538/image_1093685538.jpg
4148108,2024-09-09T15:19:07-04:00,The retail sector braces for a potential major port strike ahead of the holiday season,954720,8,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1053236664/image_1053236664.jpg
4143107,2024-08-22T17:07:20-04:00,"Earnings Summary: Ross Stores beats Q2 estimates, hikes profit guidance for FY24",59131291,1,tag,,
4143100,2024-08-22T16:50:59-04:00,"Ross Stores' value proposition resonates with consumers, Q2 results top expectations",59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2123430319/image_2123430319.jpg
4143062,2024-08-22T16:06:43-04:00,"Ross Stores GAAP EPS of $1.59 beats by $0.10, revenue of $5.29B beats by $40M",49282475,0,tag,,
4142605,2024-08-22T00:32:47-04:00,Ross Stores declares $0.3675 dividend,52365730,3,tag,,
4142419,2024-08-21T17:35:33-04:00,Ross Stores Q2 2025 Earnings Preview,49282475,0,tag,,
4142349,2024-08-21T10:06:58-04:00,Retail revival: Target and TJX lift peers after surprising to the upside with their outlooks,954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1397974434/image_1397974434.jpg
4158087,2024-10-13T18:05:26-04:00,SA Asks: Which stocks would be most impacted by increased tariffs?,55634950,37,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/943893624/image_943893624.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4150406,2024-09-17T14:36:18-04:00,"Christmas shopping coming early this year, as retailers face economic worries, late Thanksgiving",54408948,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1093685538/image_1093685538.jpg
4148108,2024-09-09T15:19:07-04:00,The retail sector braces for a potential major port strike ahead of the holiday season,954720,8,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1053236664/image_1053236664.jpg
4143107,2024-08-22T17:07:20-04:00,"Earnings Summary: Ross Stores beats Q2 estimates, hikes profit guidance for FY24",59131291,1,tag,,
4143100,2024-08-22T16:50:59-04:00,"Ross Stores' value proposition resonates with consumers, Q2 results top expectations",59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2123430319/image_2123430319.jpg
4143062,2024-08-22T16:06:43-04:00,"Ross Stores GAAP EPS of $1.59 beats by $0.10, revenue of $5.29B beats by $40M",49282475,0,tag,,
4142605,2024-08-22T00:32:47-04:00,Ross Stores declares $0.3675 dividend,52365730,3,tag,,
4142419,2024-08-21T17:35:33-04:00,Ross Stores Q2 2025 Earnings Preview,49282475,0,tag,,
4142349,2024-08-21T10:06:58-04:00,Retail revival: Target and TJX lift peers after surprising to the upside with their outlooks,954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1397974434/image_1397974434.jpg
4158087,2024-10-13T18:05:26-04:00,SA Asks: Which stocks would be most impacted by increased tariffs?,55634950,37,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/943893624/image_943893624.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4150406,2024-09-17T14:36:18-04:00,"Christmas shopping coming early this year, as retailers face economic worries, late Thanksgiving",54408948,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1093685538/image_1093685538.jpg
4148108,2024-09-09T15:19:07-04:00,The retail sector braces for a potential major port strike ahead of the holiday season,954720,8,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1053236664/image_1053236664.jpg
4143107,2024-08-22T17:07:20-04:00,"Earnings Summary: Ross Stores beats Q2 estimates, hikes profit guidance for FY24",59131291,1,tag,,
4143100,2024-08-22T16:50:59-04:00,"Ross Stores' value proposition resonates with consumers, Q2 results top expectations",59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2123430319/image_2123430319.jpg
4143062,2024-08-22T16:06:43-04:00,"Ross Stores GAAP EPS of $1.59 beats by $0.10, revenue of $5.29B beats by $40M",49282475,0,tag,,
4142605,2024-08-22T00:32:47-04:00,Ross Stores declares $0.3675 dividend,52365730,3,tag,,
4142419,2024-08-21T17:35:33-04:00,Ross Stores Q2 2025 Earnings Preview,49282475,0,tag,,
4142349,2024-08-21T10:06:58-04:00,Retail revival: Target and TJX lift peers after surprising to the upside with their outlooks,954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1397974434/image_1397974434.jpg
4158087,2024-10-13T18:05:26-04:00,SA Asks: Which stocks would be most impacted by increased tariffs?,55634950,37,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/943893624/image_943893624.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4150406,2024-09-17T14:36:18-04:00,"Christmas shopping coming early this year, as retailers face economic worries, late Thanksgiving",54408948,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1093685538/image_1093685538.jpg
4148108,2024-09-09T15:19:07-04:00,The retail sector braces for a potential major port strike ahead of the holiday season,954720,8,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1053236664/image_1053236664.jpg
4143107,2024-08-22T17:07:20-04:00,"Earnings Summary: Ross Stores beats Q2 estimates, hikes profit guidance for FY24",59131291,1,tag,,
4143100,2024-08-22T16:50:59-04:00,"Ross Stores' value proposition resonates with consumers, Q2 results top expectations",59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2123430319/image_2123430319.jpg
4143062,2024-08-22T16:06:43-04:00,"Ross Stores GAAP EPS of $1.59 beats by $0.10, revenue of $5.29B beats by $40M",49282475,0,tag,,
4142605,2024-08-22T00:32:47-04:00,Ross Stores declares $0.3675 dividend,52365730,3,tag,,
4142419,2024-08-21T17:35:33-04:00,Ross Stores Q2 2025 Earnings Preview,49282475,0,tag,,
4142349,2024-08-21T10:06:58-04:00,Retail revival: Target and TJX lift peers after surprising to the upside with their outlooks,954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1397974434/image_1397974434.jpg
4158087,2024-10-13T18:05:26-04:00,SA Asks: Which stocks would be most impacted by increased tariffs?,55634950,37,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/943893624/image_943893624.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4150406,2024-09-17T14:36:18-04:00,"Christmas shopping coming early this year, as retailers face economic worries, late Thanksgiving",54408948,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1093685538/image_1093685538.jpg
4148108,2024-09-09T15:19:07-04:00,The retail sector braces for a potential major port strike ahead of the holiday season,954720,8,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1053236664/image_1053236664.jpg
4143107,2024-08-22T17:07:20-04:00,"Earnings Summary: Ross Stores beats Q2 estimates, hikes profit guidance for FY24",59131291,1,tag,,
4143100,2024-08-22T16:50:59-04:00,"Ross Stores' value proposition resonates with consumers, Q2 results top expectations",59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2123430319/image_2123430319.jpg
4143062,2024-08-22T16:06:43-04:00,"Ross Stores GAAP EPS of $1.59 beats by $0.10, revenue of $5.29B beats by $40M",49282475,0,tag,,
4142605,2024-08-22T00:32:47-04:00,Ross Stores declares $0.3675 dividend,52365730,3,tag,,
4142419,2024-08-21T17:35:33-04:00,Ross Stores Q2 2025 Earnings Preview,49282475,0,tag,,
4142349,2024-08-21T10:06:58-04:00,Retail revival: Target and TJX lift peers after surprising to the upside with their outlooks,954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1397974434/image_1397974434.jpg
4158087,2024-10-13T18:05:26-04:00,SA Asks: Which stocks would be most impacted by increased tariffs?,55634950,37,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/943893624/image_943893624.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4150406,2024-09-17T14:36:18-04:00,"Christmas shopping coming early this year, as retailers face economic worries, late Thanksgiving",54408948,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1093685538/image_1093685538.jpg
4148108,2024-09-09T15:19:07-04:00,The retail sector braces for a potential major port strike ahead of the holiday season,954720,8,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1053236664/image_1053236664.jpg
4143107,2024-08-22T17:07:20-04:00,"Earnings Summary: Ross Stores beats Q2 estimates, hikes profit guidance for FY24",59131291,1,tag,,
4143100,2024-08-22T16:50:59-04:00,"Ross Stores' value proposition resonates with consumers, Q2 results top expectations",59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2123430319/image_2123430319.jpg
4143062,2024-08-22T16:06:43-04:00,"Ross Stores GAAP EPS of $1.59 beats by $0.10, revenue of $5.29B beats by $40M",49282475,0,tag,,
4142605,2024-08-22T00:32:47-04:00,Ross Stores declares $0.3675 dividend,52365730,3,tag,,
4142419,2024-08-21T17:35:33-04:00,Ross Stores Q2 2025 Earnings Preview,49282475,0,tag,,
4142349,2024-08-21T10:06:58-04:00,Retail revival: Target and TJX lift peers after surprising to the upside with their outlooks,954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1397974434/image_1397974434.jpg
4158087,2024-10-13T18:05:26-04:00,SA Asks: Which stocks would be most impacted by increased tariffs?,55634950,37,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/943893624/image_943893624.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4150406,2024-09-17T14:36:18-04:00,"Christmas shopping coming early this year, as retailers face economic worries, late Thanksgiving",54408948,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1093685538/image_1093685538.jpg
4148108,2024-09-09T15:19:07-04:00,The retail sector braces for a potential major port strike ahead of the holiday season,954720,8,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1053236664/image_1053236664.jpg
4143107,2024-08-22T17:07:20-04:00,"Earnings Summary: Ross Stores beats Q2 estimates, hikes profit guidance for FY24",59131291,1,tag,,
4143100,2024-08-22T16:50:59-04:00,"Ross Stores' value proposition resonates with consumers, Q2 results top expectations",59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2123430319/image_2123430319.jpg
4143062,2024-08-22T16:06:43-04:00,"Ross Stores GAAP EPS of $1.59 beats by $0.10, revenue of $5.29B beats by $40M",49282475,0,tag,,
4142605,2024-08-22T00:32:47-04:00,Ross Stores declares $0.3675 dividend,52365730,3,tag,,
4142419,2024-08-21T17:35:33-04:00,Ross Stores Q2 2025 Earnings Preview,49282475,0,tag,,
4142349,2024-08-21T10:06:58-04:00,Retail revival: Target and TJX lift peers after surprising to the upside with their outlooks,954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1397974434/image_1397974434.jpg
4158087,2024-10-13T18:05:26-04:00,SA Asks: Which stocks would be most impacted by increased tariffs?,55634950,37,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/943893624/image_943893624.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4150406,2024-09-17T14:36:18-04:00,"Christmas shopping coming early this year, as retailers face economic worries, late Thanksgiving",54408948,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1093685538/image_1093685538.jpg
4148108,2024-09-09T15:19:07-04:00,The retail sector braces for a potential major port strike ahead of the holiday season,954720,8,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1053236664/image_1053236664.jpg
4143107,2024-08-22T17:07:20-04:00,"Earnings Summary: Ross Stores beats Q2 estimates, hikes profit guidance for FY24",59131291,1,tag,,
4143100,2024-08-22T16:50:59-04:00,"Ross Stores' value proposition resonates with consumers, Q2 results top expectations",59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2123430319/image_2123430319.jpg
4143062,2024-08-22T16:06:43-04:00,"Ross Stores GAAP EPS of $1.59 beats by $0.10, revenue of $5.29B beats by $40M",49282475,0,tag,,
4142605,2024-08-22T00:32:47-04:00,Ross Stores declares $0.3675 dividend,52365730,3,tag,,
4142419,2024-08-21T17:35:33-04:00,Ross Stores Q2 2025 Earnings Preview,49282475,0,tag,,
4142349,2024-08-21T10:06:58-04:00,Retail revival: Target and TJX lift peers after surprising to the upside with their outlooks,954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1397974434/image_1397974434.jpg
4158087,2024-10-13T18:05:26-04:00,SA Asks: Which stocks would be most impacted by increased tariffs?,55634950,37,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/943893624/image_943893624.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4150406,2024-09-17T14:36:18-04:00,"Christmas shopping coming early this year, as retailers face economic worries, late Thanksgiving",54408948,12,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1093685538/image_1093685538.jpg
4148108,2024-09-09T15:19:07-04:00,The retail sector braces for a potential major port strike ahead of the holiday season,954720,8,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1053236664/image_1053236664.jpg
4143107,2024-08-22T17:07:20-04:00,"Earnings Summary: Ross Stores beats Q2 estimates, hikes profit guidance for FY24",59131291,1,tag,,
